dataset,config,method,mean_cost,mean_fn,mean_fp,mean_reject,mean_label_coverage,mean_label_coverage_lie,mean_label_coverage_truth
MDPE,OADNet_audio,arithmetic,0.5178187353197903,0.03584045584045584,0.0,0.9549256514735788,0.03162237866542097,0.0,0.05062030091431662
MDPE,OADNet_audio,confidence_reject_tuned,0.5048301744142628,0.009269755585545058,0.0,0.9887831430625162,0.007737322643148887,0.0,0.012387326526531356
MDPE,OADNet_audio,cs_mondrian,0.5258207714305237,0.03584045584045584,0.1053118468425659,0.8393584151181763,0.9207623758505651,0.9641595441595442,0.8946881531574341
MDPE,OADNet_audio,fixed_alpha,0.5306027300452962,0.052010796221322535,0.053453594556377715,0.8773070572141115,0.9470894380469633,0.9479892037786775,0.9465464054436222
MDPE,OADNet_audio,geometric,0.7082594775922664,0.34898485530064477,0.019053330208802535,0.6069418778025105,0.2501933519626816,0.026120857699805065,0.3847832424453441
MDPE,OADNet_audio,lie_only,0.5448724902947059,0.08929974508921877,0.0,0.8886794056629244,0.9664890708455854,0.9107002549107812,1.0
MDPE,OADNet_audio,mondrian,0.5528745264054393,0.08929974508921877,0.1053118468425659,0.7731121693075219,0.9007034165571508,0.9107002549107812,0.8946881531574341
MDPE,OADNet_audio,split_conformal,0.6342038947445122,0.2424741340530814,0.0,0.722509114157913,0.9090168874448148,0.7575258659469186,1.0
MDPE,OADNet_text,arithmetic,0.4770238495534148,0.04056680161943319,0.03586688335298329,0.8178904986818714,0.1444780198968994,0.07548957864747338,0.18590786008300317
MDPE,OADNet_text,confidence_reject_tuned,0.47751571206927,0.035030739241265554,0.0038543302278945396,0.8713260395121484,0.11311794912302559,0.008864897285949918,0.17573745331383517
MDPE,OADNet_text,cs_mondrian,0.4761750016257793,0.04056680161943319,0.10395821844415608,0.7311071602371786,0.9198256972840599,0.9594331983805668,0.8960417815558439
MDPE,OADNet_text,fixed_alpha,0.4815411748555427,0.05872244714349978,0.054884178646370546,0.7622833673313991,0.9436735113109084,0.9412775528565003,0.9451158213536295
MDPE,OADNet_text,geometric,0.5645740257726328,0.2123256860098965,0.1042427897934885,0.5208448286342022,0.3343522762291603,0.19364222522117258,0.4188655300419035
MDPE,OADNet_text,lie_only,0.5067889490327572,0.10587194481931324,0.0,0.7752035528257033,0.9602709424600314,0.8941280551806868,1.0
MDPE,OADNet_text,mondrian,0.5029796509236385,0.10587194481931324,0.10395821844415608,0.6376834699668358,0.8953201991397164,0.8941280551806868,0.8960417815558439
MDPE,OADNet_text,split_conformal,0.5651230878330307,0.21198380566801617,0.036288675971612464,0.607628167078895,0.8977827527105359,0.7880161943319838,0.9637113240283876
SEUMLD,OADNet_audio,arithmetic,0.5112901489345758,0.036281953526738596,0.002463177794964338,0.9449658668968811,0.04102028029843535,0.008087710351861295,0.05818709943136668
SEUMLD,OADNet_audio,confidence_reject_tuned,0.5056286487452243,0.02080943337612173,9.876543209876543e-05,0.968272867746922,0.024519840748011616,0.0020754716981132076,0.03629754098457932
SEUMLD,OADNet_audio,cs_mondrian,0.5149263469092324,0.036281953526738596,0.09364470192828092,0.8331695613878044,0.9264517964661215,0.9637180464732614,0.9063552980717191
SEUMLD,OADNet_audio,fixed_alpha,0.517777636960029,0.050361900001704527,0.04859114356530986,0.8685490898211609,0.9510088212936674,0.9496380999982955,0.9514088564346902
SEUMLD,OADNet_audio,geometric,0.6627107789258474,0.3442504125860165,0.028931776657280136,0.5754292459165381,0.2869157192964486,0.0544595910054933,0.4090951553354054
SEUMLD,OADNet_audio,lie_only,0.5293282802830009,0.08195631801890003,0.0,0.89025120425612,0.9719324406150197,0.9180436819811,1.0
SEUMLD,OADNet_audio,mondrian,0.5323845839411877,0.08195631801890003,0.09364470192828092,0.7740607671861883,0.910780918421867,0.9180436819811,0.9063552980717191
SEUMLD,OADNet_audio,split_conformal,0.5921742438042108,0.23948996965304206,0.002463177794964338,0.6872255514256149,0.9160680629935605,0.760510030346958,0.9975368222050356
SEUMLD,OADNet_text,arithmetic,0.48359675825457105,0.02647510291860336,0.016350244615313106,0.8910819094125465,0.08911871485291195,0.07336063781607946,0.09732446981451712
SEUMLD,OADNet_text,confidence_reject_tuned,0.49871626523502466,0.0560707572867106,0.002418483848018402,0.8790636478522106,0.10014577850488486,0.008492055229576656,0.1481788137233034
SEUMLD,OADNet_text,cs_mondrian,0.4733199939235431,0.02647510291860336,0.10293163919119967,0.757167117676918,0.9235199927286721,0.9735248970813966,0.8970683608088004
SEUMLD,OADNet_text,fixed_alpha,0.47029581066241904,0.03963270469472991,0.052560570824649135,0.7897829470651777,0.9519510643320905,0.9603672953052701,0.9474394291753508
SEUMLD,OADNet_text,geometric,0.5919821789854807,0.30638934910683313,0.07115831160465912,0.4568618891666617,0.390910879906311,0.23737162454716207,0.4717717673379376
SEUMLD,OADNet_text,lie_only,0.504606987044611,0.09278474937141427,0.0,0.8177092018355927,0.9680825379577285,0.9072152506285858,1.0
SEUMLD,OADNet_text,mondrian,0.4869567391767017,0.09278474937141427,0.10293163919119967,0.6477051193708745,0.9007307445932787,0.9072152506285858,0.8970683608088004
SEUMLD,OADNet_text,split_conformal,0.5609620194539138,0.24655335341113158,0.016350244615313106,0.5907766809022901,0.9043613324473014,0.7534466465888684,0.9836497553846868
