dataset,config,fold,seed,cost_ratio,C_rev,baseline,target_type,target_value,achieved_cs,achieved_bl,cost_cs,cost_bl,delta_cost
SEUMLD,OADNet_text,3,7,1.0,0.25,mondrian,reject_rate,0.6,0.5859969558599696,0.5859969558599696,0.2713089802130898,0.2713089802130898,0.0
SEUMLD,OADNet_text,3,7,1.0,0.5,mondrian,reject_rate,0.6,0.5859969558599696,0.5859969558599696,0.4178082191780822,0.4178082191780822,0.0
SEUMLD,OADNet_text,3,7,1.0,1.0,mondrian,reject_rate,0.6,0.5859969558599696,0.5859969558599696,0.710806697108067,0.710806697108067,0.0
SEUMLD,OADNet_text,3,7,1.0,2.0,mondrian,reject_rate,0.6,0.5859969558599696,0.5859969558599696,1.2968036529680365,1.2968036529680365,0.0
SEUMLD,OADNet_text,3,2026,1.0,0.25,mondrian,reject_rate,0.6,0.6225266362252664,0.6225266362252664,0.25,0.25,0.0
SEUMLD,OADNet_text,3,2026,1.0,0.5,mondrian,reject_rate,0.6,0.6225266362252664,0.6225266362252664,0.4056316590563166,0.4056316590563166,0.0
SEUMLD,OADNet_text,3,2026,1.0,1.0,mondrian,reject_rate,0.6,0.6225266362252664,0.6225266362252664,0.7168949771689498,0.7168949771689498,0.0
SEUMLD,OADNet_text,3,2026,1.0,2.0,mondrian,reject_rate,0.6,0.6225266362252664,0.6225266362252664,1.339421613394216,1.339421613394216,0.0
SEUMLD,OADNet_text,4,7,1.0,0.25,mondrian,reject_rate,0.6,0.6283987915407855,0.6283987915407855,0.26435045317220546,0.26435045317220546,0.0
SEUMLD,OADNet_text,4,7,1.0,0.5,mondrian,reject_rate,0.6,0.6283987915407855,0.6283987915407855,0.4214501510574018,0.4214501510574018,0.0
SEUMLD,OADNet_text,4,7,1.0,1.0,mondrian,reject_rate,0.6,0.6283987915407855,0.6283987915407855,0.7356495468277946,0.7356495468277946,0.0
SEUMLD,OADNet_text,4,7,1.0,2.0,mondrian,reject_rate,0.6,0.6283987915407855,0.6283987915407855,1.36404833836858,1.36404833836858,0.0
SEUMLD,OADNet_text,4,42,1.0,0.25,mondrian,reject_rate,0.6,0.5921450151057401,0.5921450151057401,0.2583081570996979,0.2583081570996979,0.0
SEUMLD,OADNet_text,4,42,1.0,0.5,mondrian,reject_rate,0.6,0.5921450151057401,0.5921450151057401,0.40634441087613293,0.40634441087613293,0.0
SEUMLD,OADNet_text,4,42,1.0,1.0,mondrian,reject_rate,0.6,0.5921450151057401,0.5921450151057401,0.702416918429003,0.702416918429003,0.0
SEUMLD,OADNet_text,4,42,1.0,2.0,mondrian,reject_rate,0.6,0.5921450151057401,0.5921450151057401,1.2945619335347431,1.2945619335347431,0.0
SEUMLD,OADNet_text,4,123,1.0,0.25,mondrian,reject_rate,0.6,0.620845921450151,0.620845921450151,0.25793051359516617,0.25793051359516617,0.0
SEUMLD,OADNet_text,4,123,1.0,0.5,mondrian,reject_rate,0.6,0.620845921450151,0.620845921450151,0.4131419939577039,0.4131419939577039,0.0
SEUMLD,OADNet_text,4,123,1.0,1.0,mondrian,reject_rate,0.6,0.620845921450151,0.620845921450151,0.7235649546827795,0.7235649546827795,0.0
SEUMLD,OADNet_text,4,123,1.0,2.0,mondrian,reject_rate,0.6,0.620845921450151,0.620845921450151,1.3444108761329305,1.3444108761329305,0.0
SEUMLD,OADNet_text,4,2024,1.0,0.25,mondrian,reject_rate,0.6,0.6193353474320241,0.6193353474320241,0.25302114803625375,0.25302114803625375,0.0
SEUMLD,OADNet_text,4,2024,1.0,0.5,mondrian,reject_rate,0.6,0.6193353474320241,0.6193353474320241,0.4078549848942598,0.4078549848942598,0.0
SEUMLD,OADNet_text,4,2024,1.0,1.0,mondrian,reject_rate,0.6,0.6193353474320241,0.6193353474320241,0.7175226586102719,0.7175226586102719,0.0
SEUMLD,OADNet_text,4,2024,1.0,2.0,mondrian,reject_rate,0.6,0.6193353474320241,0.6193353474320241,1.336858006042296,1.336858006042296,0.0
SEUMLD,OADNet_text,4,2026,1.0,0.25,mondrian,reject_rate,0.6,0.6268882175226587,0.6268882175226587,0.25793051359516617,0.25793051359516617,0.0
SEUMLD,OADNet_text,4,2026,1.0,0.5,mondrian,reject_rate,0.6,0.6268882175226587,0.6268882175226587,0.41465256797583083,0.41465256797583083,0.0
SEUMLD,OADNet_text,4,2026,1.0,1.0,mondrian,reject_rate,0.6,0.6268882175226587,0.6268882175226587,0.7280966767371602,0.7280966767371602,0.0
SEUMLD,OADNet_text,4,2026,1.0,2.0,mondrian,reject_rate,0.6,0.6268882175226587,0.6268882175226587,1.3549848942598188,1.3549848942598188,0.0
MDPE,OADNet_text,0,2024,1.0,0.25,mondrian,reject_rate,0.6,0.6129385964912281,0.6129385964912281,0.2552083333333333,0.2552083333333333,0.0
MDPE,OADNet_text,0,2024,1.0,0.5,mondrian,reject_rate,0.6,0.6129385964912281,0.6129385964912281,0.40844298245614036,0.40844298245614036,0.0
MDPE,OADNet_text,0,2024,1.0,1.0,mondrian,reject_rate,0.6,0.6129385964912281,0.6129385964912281,0.7149122807017544,0.7149122807017544,0.0
MDPE,OADNet_text,0,2024,1.0,2.0,mondrian,reject_rate,0.6,0.6129385964912281,0.6129385964912281,1.3278508771929824,1.3278508771929824,0.0
MDPE,OADNet_text,0,2026,1.0,0.25,mondrian,reject_rate,0.6,0.6260964912280702,0.6260964912280702,0.27055921052631576,0.27055921052631576,0.0
MDPE,OADNet_text,0,2026,1.0,0.5,mondrian,reject_rate,0.6,0.6260964912280702,0.6260964912280702,0.4270833333333333,0.4270833333333333,0.0
MDPE,OADNet_text,0,2026,1.0,1.0,mondrian,reject_rate,0.6,0.6260964912280702,0.6260964912280702,0.7401315789473685,0.7401315789473685,0.0
MDPE,OADNet_text,0,2026,1.0,2.0,mondrian,reject_rate,0.6,0.6260964912280702,0.6260964912280702,1.3662280701754386,1.3662280701754386,0.0
MDPE,OADNet_text,1,42,1.0,0.25,mondrian,reject_rate,0.6,0.625,0.625,0.26480263157894735,0.26480263157894735,0.0
MDPE,OADNet_text,1,42,1.0,0.5,mondrian,reject_rate,0.6,0.625,0.625,0.42105263157894735,0.42105263157894735,0.0
MDPE,OADNet_text,1,42,1.0,1.0,mondrian,reject_rate,0.6,0.625,0.625,0.7335526315789473,0.7335526315789473,0.0
MDPE,OADNet_text,1,42,1.0,2.0,mondrian,reject_rate,0.6,0.625,0.625,1.3585526315789473,1.3585526315789473,0.0
MDPE,OADNet_text,1,2024,1.0,0.25,mondrian,reject_rate,0.6,0.6271929824561403,0.6271929824561403,0.28618421052631576,0.28618421052631576,0.0
MDPE,OADNet_text,1,2024,1.0,0.5,mondrian,reject_rate,0.6,0.6271929824561403,0.6271929824561403,0.44298245614035087,0.44298245614035087,0.0
MDPE,OADNet_text,1,2024,1.0,1.0,mondrian,reject_rate,0.6,0.6271929824561403,0.6271929824561403,0.756578947368421,0.756578947368421,0.0
MDPE,OADNet_text,1,2024,1.0,2.0,mondrian,reject_rate,0.6,0.6271929824561403,0.6271929824561403,1.3837719298245614,1.3837719298245614,0.0
MDPE,OADNet_text,1,2026,1.0,0.25,mondrian,reject_rate,0.6,0.6052631578947368,0.6052631578947368,0.26096491228070173,0.26096491228070173,0.0
MDPE,OADNet_text,1,2026,1.0,0.5,mondrian,reject_rate,0.6,0.6052631578947368,0.6052631578947368,0.41228070175438597,0.41228070175438597,0.0
MDPE,OADNet_text,1,2026,1.0,1.0,mondrian,reject_rate,0.6,0.6052631578947368,0.6052631578947368,0.7149122807017544,0.7149122807017544,0.0
