dataset,config,cost_ratio,C_rev,eps_hum,n_subjects,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
SEUMLD,OADNet_text,1.0,0.25,0.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_text,1.0,0.5,0.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_text,1.0,1.0,0.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_text,1.0,2.0,0.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_text,2.0,0.25,0.0,76,-0.016495356643775796,-0.006450719822812847,-0.026250663877528762,-0.007596439462789401,0.0006,0.014489319242613471,0.48868297090314317,34,41,1,53.94736842105263,
SEUMLD,OADNet_text,2.0,0.5,0.0,76,0.0037933397400515107,0.01111111111111111,-0.0059323802716131835,0.01310924593417477,0.4438,0.16846724077820796,0.034415913668175036,46,27,3,35.526315789473685,
SEUMLD,OADNet_text,2.0,1.0,0.0,76,0.04437073250770613,0.03527777777777776,0.03342315280968565,0.055873572306760766,0.0,1.4347775891533024e-09,3.108521862394645e-10,64,11,1,14.473684210526317,
SEUMLD,OADNet_text,2.0,2.0,0.0,76,0.12552551804301534,0.11293199554069111,0.10708998446120237,0.14482875038361986,0.0,5.278783231747444e-14,5.293955920339377e-23,75,0,1,0.0,
SEUMLD,OADNet_text,3.0,0.25,0.0,76,-0.041496954608316754,-0.018541456016177956,-0.05946686530967766,-0.02482519151872073,0.0,0.00048221135046349256,0.10534226887460482,30,45,1,59.210526315789465,
SEUMLD,OADNet_text,3.0,0.5,0.0,76,-0.014243486221701497,0.005103359173126582,-0.03209854217033615,0.0027071749274247166,0.1185,0.5760559264255665,0.566573442398685,41,35,0,46.05263157894737,0.1185
SEUMLD,OADNet_text,3.0,1.0,0.0,76,0.040263450551528995,0.04949443882709811,0.021359548494139995,0.059376221649030586,0.0,0.00021188480005126866,0.0007645817391550476,53,23,0,30.263157894736842,
SEUMLD,OADNet_text,3.0,2.0,0.0,76,0.14927732409798997,0.1388888888888889,0.12312514312735043,0.17672760135968715,0.0,1.7741734334387643e-13,5.249233110119942e-16,71,5,0,6.578947368421052,
SEUMLD,OADNet_text,5.0,0.25,0.0,76,-0.0943988972639767,-0.050543478260869565,-0.12948703681705004,-0.06167964967272983,0.0,6.823309320294854e-06,0.050452410247217666,29,47,0,61.8421052631579,
SEUMLD,OADNet_text,5.0,0.5,0.0,76,-0.06074608907718049,-0.013574317492416603,-0.09560917853504095,-0.027319957163017366,0.0008,0.02161636177025527,0.48868297090314317,34,41,1,53.94736842105263,
SEUMLD,OADNet_text,5.0,1.0,0.0,76,0.0065595272964119435,0.024154589371980693,-0.030406039572801698,0.04127894571487058,0.7253,0.36793452132998095,0.06394991646706692,46,29,1,38.15789473684211,
SEUMLD,OADNet_text,5.0,2.0,0.0,76,0.14117076004359683,0.13818181818181816,0.09616660671009032,0.18580970811997732,0.0,1.852164981715904e-07,1.4836899336372366e-05,57,19,0,25.0,
SEUMLD,OADNet_text,10.0,0.25,0.0,76,-0.2392297315485811,-0.139649209486166,-0.31626435207038,-0.16729933948114895,0.0,2.7310585973093946e-07,0.007905180027859783,26,50,0,65.78947368421053,
SEUMLD,OADNet_text,10.0,0.5,0.0,76,-0.19996389618899402,-0.09565217391304347,-0.2769523722753406,-0.12909559043078211,0.0,2.6221878141182707e-05,0.050452410247217666,29,47,0,61.8421052631579,
SEUMLD,OADNet_text,10.0,1.0,0.0,76,-0.12143222546981976,-0.02249747219413546,-0.2004936705533407,-0.04597926257577803,0.002,0.041362243566341196,0.7310088822226056,36,40,0,52.63157894736842,
SEUMLD,OADNet_text,10.0,2.0,0.0,76,0.03563111596852873,0.08654970760233932,-0.04722381987588312,0.11389410980280151,0.3852,0.20410591847595205,0.034415913668175036,46,27,3,35.526315789473685,
SEUMLD,OADNet_audio,1.0,0.25,0.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,1.0,0.5,0.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,1.0,1.0,0.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,1.0,2.0,0.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,2.0,0.25,0.0,76,-0.011014320696747217,0.0,-0.018042640735731825,-0.004380646079006085,0.0014,0.018150510472430072,0.794843653982861,28,31,17,40.78947368421053,
SEUMLD,OADNet_audio,2.0,0.5,0.0,76,-0.001043716609459678,0.0,-0.008027455880176781,0.005584100903348198,0.773,0.9368305700238457,0.43499280512215344,33,26,17,34.21052631578947,
SEUMLD,OADNet_audio,2.0,1.0,0.0,76,0.018897491565115377,0.013188405797101422,0.010552914793164794,0.027763278179125366,0.0,4.4359915085345464e-05,0.0005843646280443461,43,16,17,21.052631578947366,
SEUMLD,OADNet_audio,2.0,2.0,0.0,76,0.058779907914265496,0.0327759197324415,0.04385992668187613,0.07465494113320721,0.0,7.551804758280675e-10,1.7763568394002505e-15,50,0,26,0.0,
SEUMLD,OADNet_audio,3.0,0.25,0.0,76,-0.03099599841685527,0.0,-0.04647702627075241,-0.016720351756978082,0.0,0.0010809941395103183,0.5189580031896519,27,33,16,43.42105263157895,
SEUMLD,OADNet_audio,3.0,0.5,0.0,76,-0.016520867892177514,0.0,-0.03077889116173748,-0.0027268461333401083,0.0234,0.23016214285862469,0.8974218269914307,31,29,16,38.15789473684211,0.0468
SEUMLD,OADNet_audio,3.0,1.0,0.0,76,0.012429393157177981,0.00434782608695653,-0.002650466266861108,0.02721750917247504,0.1072,0.07424363343497437,0.018337087779101986,39,20,17,26.31578947368421,
SEUMLD,OADNet_audio,3.0,2.0,0.0,76,0.07032991525588897,0.0407558139534884,0.04861638289888545,0.0927303936574773,0.0,4.062947107201944e-08,3.183628737933597e-06,48,12,16,15.789473684210526,
SEUMLD,OADNet_audio,5.0,0.25,0.0,76,-0.08221185635443638,0.0,-0.11649724137306429,-0.04979540764774611,0.0,4.394608446499839e-05,0.2450608330229457,25,35,16,46.05263157894737,
SEUMLD,OADNet_audio,5.0,0.5,0.0,76,-0.06307447506657535,0.0,-0.09598272480019825,-0.03351907381405694,0.0001,0.003726016216285954,0.2450608330229457,25,35,16,46.05263157894737,
SEUMLD,OADNet_audio,5.0,1.0,0.0,76,-0.024799712490853283,0.0,-0.05520665175736336,0.003540929019918984,0.1066,0.45716576571784484,0.5189580031896519,33,27,16,35.526315789473685,
SEUMLD,OADNet_audio,5.0,2.0,0.0,76,0.051749812660590845,0.019565217391304367,0.01979145258851307,0.08480419333359955,0.0035,0.005390626685451641,0.01348929373119186,40,20,16,26.31578947368421,
SEUMLD,OADNet_audio,10.0,0.25,0.0,76,-0.2203557076335044,0.0,-0.3051904620067434,-0.142812031865191,0.0,1.085184350839554e-05,0.20003136851310313,25,36,15,47.368421052631575,
SEUMLD,OADNet_audio,10.0,0.5,0.0,76,-0.1971612903197731,0.0,-0.2797264625470948,-0.12358661438143732,0.0,3.148760330391955e-05,0.20003136851310313,25,36,15,47.368421052631575,
SEUMLD,OADNet_audio,10.0,1.0,0.0,76,-0.1507724556923104,0.0,-0.22810365537129831,-0.08065162085410515,0.0,0.0021359587146201073,0.20003136851310313,25,36,15,47.368421052631575,
SEUMLD,OADNet_audio,10.0,2.0,0.0,76,-0.057994786437385,0.0,-0.1299546535295102,0.008841174551433767,0.1003,0.4211220881349985,0.6089207154048286,33,28,15,36.84210526315789,
MDPE,OADNet_text,1.0,0.25,0.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,1.0,0.5,0.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,1.0,1.0,0.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
MDPE,OADNet_text,1.0,2.0,0.0,191,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,191,0.0,
