dataset,config,cost_ratio,n_units,unit_type,bayes_tau_cost,singh_cost_at_crev025,singh_cost_at_crev05,singh_cost_at_crev1,singh_cost_at_crev2,C_star_rev,C_star_ci_2.5,C_star_ci_97.5,tau_star
Open-Domain,TFIDF_LR,1.0,511,subject,0.4111433641374933,0.2775532795102266,0.4459645811896301,0.7827871845484371,1.4564323912660508,0.44830926323694076,0.4400550522506096,0.45650572145365964,0.5
Open-Domain,TFIDF_LR,2.0,511,subject,0.487912142217426,0.3310553351844937,0.49946663686389714,0.836289240222704,1.5099344469403178,0.48284780396082494,0.4743307745597391,0.4910997971991393,0.3333333333333333
Open-Domain,TFIDF_LR,3.0,511,subject,0.4937832595758232,0.3845573908587607,0.5529686925381642,0.8897912958969711,1.5634365026145847,0.41214153626843664,0.39631990598117883,0.4276242596350151,0.25
Open-Domain,TFIDF_LR,5.0,511,subject,0.49015536322777026,0.4915615022072947,0.6599728038866983,0.9967954072455052,1.6704406139631187,0.25,0.25,0.27687439011233705,0.16666666666666666
Open-Domain,TFIDF_LR,10.0,511,subject,0.4882341620110701,0.7590717805786299,0.9274830822580333,1.2643056856168402,1.9379508923344542,0.25,0.25,0.25,0.09090909090909091
Cross-Cultural,TFIDF_LR,1.0,1200,paired_unit,0.3223333333333333,0.2306041666666667,0.362375,0.6259166666666667,1.153,0.42403162055335963,0.4089041502742664,0.4389902184170754,0.5
Cross-Cultural,TFIDF_LR,2.0,1200,paired_unit,0.45400000000000007,0.2802708333333333,0.41204166666666664,0.6755833333333334,1.202666666666667,0.5796047430830041,0.5563571251724262,0.6034705010089071,0.3333333333333333
Cross-Cultural,TFIDF_LR,3.0,1200,paired_unit,0.49200000000000005,0.3299375,0.4617083333333334,0.72525,1.2523333333333333,0.5574703557312253,0.521745645158057,0.5924309990537685,0.25
Cross-Cultural,TFIDF_LR,5.0,1200,paired_unit,0.4999166666666666,0.4292708333333333,0.5610416666666667,0.8245833333333333,1.3516666666666666,0.3840316205533596,0.32496816970785486,0.4416490750067031,0.16666666666666666
Cross-Cultural,TFIDF_LR,10.0,1200,paired_unit,0.5,0.6776041666666667,0.809375,1.0729166666666667,1.6,0.25,0.25,0.25,0.09090909090909091
