dataset,config,cost_ratio,C_rev,eps_hum,n_units,unit_type,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
Open-Domain,TFIDF_LR,1.0,0.25,0.0,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,1.0,0.5,0.0,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,1.0,1.0,0.0,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,1.0,2.0,0.0,511,subject,0.0,0.0,0.0,0.0,1.0,1.0,0,0,511,0.0,
Open-Domain,TFIDF_LR,2.0,0.25,0.0,511,subject,-0.03685323862916818,-0.02692307692307694,-0.040738367212804584,-0.03306732840979416,9.999000099990002e-05,6.45519269297628e-57,112,385,14,75.34246575342466,
Open-Domain,TFIDF_LR,2.0,0.5,0.0,511,subject,-0.018370089358347674,-0.014285714285714235,-0.02173202238075036,-0.01507032277898227,9.999000099990002e-05,6.312387637228444e-21,172,302,37,59.099804305283755,
Open-Domain,TFIDF_LR,2.0,1.0,0.0,511,subject,0.01859620918329333,0.016666666666666496,0.01537150493559496,0.02178775632934146,9.999000099990002e-05,9.710390362233412e-26,328,125,58,24.46183953033268,
Open-Domain,TFIDF_LR,2.0,2.0,0.0,511,subject,0.09252880626657535,0.08571428571428585,0.08744347107556502,0.09761307153381517,9.999000099990002e-05,1.4752060267015564e-79,475,0,36,0.0,
Open-Domain,TFIDF_LR,3.0,0.25,0.0,511,subject,-0.08751309627532719,-0.0714285714285714,-0.09488679005545443,-0.08009148281322939,9.999000099990002e-05,1.5012683934199257e-71,80,425,6,83.17025440313111,
Open-Domain,TFIDF_LR,3.0,0.5,0.0,511,subject,-0.06168649897612714,-0.04999999999999993,-0.06869832735757395,-0.05500801864476031,9.999000099990002e-05,1.0257017098590157e-49,111,382,18,74.75538160469667,9.999000099990002e-05
Open-Domain,TFIDF_LR,3.0,1.0,0.0,511,subject,-0.010033304377727072,-1.1102230246251565e-16,-0.0160200885763508,-0.004097262543935726,0.0014998500149985001,0.01199032146716356,216,258,37,50.489236790606654,
Open-Domain,TFIDF_LR,3.0,2.0,0.0,511,subject,0.0932730848190731,0.08571428571428563,0.08652442018733604,0.10001478169579933,9.999000099990002e-05,4.8215379900554806e-74,451,41,19,8.023483365949119,
Open-Domain,TFIDF_LR,5.0,0.25,0.0,511,subject,-0.18895312015664265,-0.1535714285714286,-0.20409642248108492,-0.17423464246397222,9.999000099990002e-05,2.2932268469064886e-77,73,433,5,84.73581213307241,
Open-Domain,TFIDF_LR,5.0,0.5,0.0,511,subject,-0.15865766979269916,-0.125,-0.17268660780402462,-0.14485955854864857,9.999000099990002e-05,1.6731817125227543e-67,86,417,8,81.60469667318982,
Open-Domain,TFIDF_LR,5.0,1.0,0.0,511,subject,-0.09806676906481213,-0.07272727272727286,-0.11053623317321945,-0.08529433140245274,9.999000099990002e-05,5.3719015561197875e-37,137,356,18,69.66731898238747,
Open-Domain,TFIDF_LR,5.0,2.0,0.0,511,subject,0.023115032390961947,0.01666666666666683,0.012038334572581145,0.03449798109044684,9.999000099990002e-05,4.580311245574145e-05,284,209,18,40.90019569471624,
Open-Domain,TFIDF_LR,10.0,0.25,0.0,511,subject,-0.4503635812980236,-0.3821428571428571,-0.48550289070029773,-0.4162576977409414,9.999000099990002e-05,1.1547350119895136e-78,68,438,5,85.71428571428571,
Open-Domain,TFIDF_LR,10.0,0.5,0.0,511,subject,-0.41670826781394293,-0.33571428571428574,-0.4495406846903912,-0.38391436167659254,9.999000099990002e-05,8.082660486070524e-78,68,438,5,85.71428571428571,
