dataset,config,method,B,cost_ratio,C_rev,n_subjects,mean_delta,median_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,sign_p,n_positive,n_negative,n_zero,cs_wins_pct,holm_p
SEUMLD,OADNet_text,s1_reverse,,1.0,0.25,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_text,s1_reverse,,1.0,0.5,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_text,s1_reverse,,1.0,1.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_text,s1_reverse,,1.0,2.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_text,s1_reverse,,2.0,0.25,76,-0.0013574081003505452,-0.0038888888888888775,-0.013321700245409223,0.011228320606223226,0.8373,0.5310134821752979,0.7310088822226056,36,40,0,52.63157894736842,
SEUMLD,OADNet_text,s1_reverse,,2.0,0.5,76,-0.006235921171530233,-0.0035628019323671435,-0.018894658737984585,0.006851357196238342,0.3456,0.25040250266349484,0.42219110499231566,34,42,0,55.26315789473685,
SEUMLD,OADNet_text,s1_reverse,,2.0,1.0,76,-0.015992947313889606,-0.012045454545454547,-0.03185592424731754,-0.0007482989657892022,0.0502,0.0721703319346712,0.16542794172425662,31,44,1,57.89473684210527,
SEUMLD,OADNet_text,s1_reverse,,2.0,2.0,76,-0.035506999598608355,-0.031684587813620116,-0.06129584869214683,-0.010154210627679353,0.0099,0.017237321830037466,0.20673684180839247,32,44,0,57.89473684210527,
SEUMLD,OADNet_text,s1_reverse,,3.0,0.25,76,0.01843456232734163,0.004473684210526319,-0.0022938352810675366,0.040127930242216864,0.1048,0.30287240171334895,0.7310088822226056,40,36,0,47.368421052631575,
SEUMLD,OADNet_text,s1_reverse,,3.0,0.5,76,0.016093912176226337,0.005555555555555547,-0.0058230584082044,0.03857064219985667,0.1696,0.390096718301693,1.0,38,38,0,50.0,0.1978
SEUMLD,OADNet_text,s1_reverse,,3.0,1.0,76,0.011412611873995757,0.0072890025575447605,-0.015578566697024803,0.03821513460363941,0.4122,0.5175197138603418,0.7310088822226056,40,36,0,47.368421052631575,
SEUMLD,OADNet_text,s1_reverse,,3.0,2.0,76,0.002050011269534588,0.015542521994134861,-0.03965342630611251,0.04342507439633195,0.9235,0.8177867275670554,0.566573442398685,41,35,0,46.05263157894737,
SEUMLD,OADNet_text,s1_reverse,,5.0,0.25,76,0.06957735563067013,0.030333670374115263,0.03194225728243625,0.10944829892477634,0.0007,0.010937875260335529,0.08464609267083598,46,30,0,39.473684210526315,
SEUMLD,OADNet_text,s1_reverse,,5.0,0.5,76,0.06792712838028092,0.03956521739130434,0.028123472434079737,0.10891553670303206,0.0021,0.01675935660604404,0.20673684180839247,44,32,0,42.10526315789473,
SEUMLD,OADNet_text,s1_reverse,,5.0,1.0,76,0.06462667387950248,0.04272727272727276,0.018770183657008763,0.11225307666230729,0.0098,0.030652727007058927,0.13538510529943087,45,31,0,40.78947368421053,
SEUMLD,OADNet_text,s1_reverse,,5.0,2.0,76,0.058025764877945606,0.032177419354838664,-0.00904241255324777,0.12330014452608687,0.0936,0.12272262618819425,0.5613807442989817,40,34,2,44.73684210526316,
SEUMLD,OADNet_text,s1_reverse,,10.0,0.25,76,0.21384464352078283,0.1329298418972332,0.13657698195820778,0.29679921211973004,0.0,1.4679452673414672e-05,0.028626655508737896,48,28,0,36.84210526315789,
SEUMLD,OADNet_text,s1_reverse,,10.0,0.5,76,0.2128455302385841,0.13506459948320412,0.13434750811358798,0.2949738446441247,0.0,2.5921828089330568e-05,0.01544026202090637,49,27,0,35.526315789473685,
SEUMLD,OADNet_text,s1_reverse,,10.0,1.0,76,0.21084730367418666,0.15491935483870972,0.12271828218232954,0.2999270479822543,0.0,0.00017612749869216167,0.050452410247217666,47,29,0,38.15789473684211,
SEUMLD,OADNet_text,s1_reverse,,10.0,2.0,76,0.20685085054539182,0.2164141414141415,0.10297776259127535,0.31561984730263426,0.0004,0.001010365269371129,0.028626655508737896,48,28,0,36.84210526315789,
SEUMLD,OADNet_audio,s1_reverse,,1.0,0.25,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,s1_reverse,,1.0,0.5,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,s1_reverse,,1.0,1.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,s1_reverse,,1.0,2.0,76,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,76,0.0,
SEUMLD,OADNet_audio,s1_reverse,,2.0,0.25,76,-0.0048202195093010915,-0.008389037433155087,-0.015109737101872071,0.005445269069120316,0.352,0.1798340704488074,0.0369549040273683,28,47,1,61.8421052631579,
SEUMLD,OADNet_audio,s1_reverse,,2.0,0.5,76,-0.0011891893531772064,-0.0026515151515151382,-0.010952775186864624,0.0086816625683072,0.8126,0.6066523370312819,0.8175538505509841,36,39,1,51.31578947368421,
SEUMLD,OADNet_audio,s1_reverse,,2.0,1.0,76,0.006072870959070556,0.002222222222222203,-0.007958393821295776,0.020146035990113942,0.4038,0.4760354464265737,0.7239481457469141,38,34,4,44.73684210526316,
SEUMLD,OADNet_audio,s1_reverse,,2.0,2.0,76,0.020596991583566083,0.014213624894869659,-0.008672147285098587,0.049445274902059765,0.1749,0.21462889787880002,0.10534226887460482,45,30,1,39.473684210526315,
SEUMLD,OADNet_audio,s1_reverse,,3.0,0.25,76,0.01115664323039684,-0.007596153846153839,-0.007180589750840262,0.030224564086797162,0.2434,0.858236901786627,0.566573442398685,35,41,0,53.94736842105263,
SEUMLD,OADNet_audio,s1_reverse,,3.0,0.5,76,0.015001624557583965,0.0023064687168610765,-0.002103297411221323,0.032332797337398106,0.0989,0.2612305467173296,0.7310088822226056,40,36,0,47.368421052631575,0.1978
SEUMLD,OADNet_audio,s1_reverse,,3.0,1.0,76,0.022691587211958207,0.011172901921132461,0.0018572886755628371,0.043796684719367936,0.0419,0.06050231134965058,0.2887842804141049,41,31,4,40.78947368421053,
SEUMLD,OADNet_audio,s1_reverse,,3.0,2.0,76,0.0380715125207067,0.03144016227180524,-0.0009758095239751901,0.07878730241749676,0.068,0.09809359807177982,0.20673684180839247,44,32,0,42.10526315789473,
SEUMLD,OADNet_audio,s1_reverse,,5.0,0.25,76,0.057680330313159243,0.0011111111111111072,0.021309078856086093,0.0957574336968479,0.0018,0.09518558327786855,1.0,38,37,1,48.68421052631579,
SEUMLD,OADNet_audio,s1_reverse,,5.0,0.5,76,0.0599774113368073,0.02434210526315788,0.02756293445948757,0.09501458464063557,0.0009,0.021519010275514117,0.20673684180839247,44,32,0,42.10526315789473,
SEUMLD,OADNet_audio,s1_reverse,,5.0,1.0,76,0.06457157338410342,0.03096821877309682,0.032248609001155615,0.09802331429255405,0.0003,0.0008986913687090482,0.03192716208321237,45,26,5,34.21052631578947,
SEUMLD,OADNet_audio,s1_reverse,,5.0,2.0,76,0.0737598974786957,0.08408268733850129,0.023719641316797054,0.12370531662215102,0.0056,0.007492651192208962,0.01544026202090637,49,27,0,35.526315789473685,
SEUMLD,OADNet_audio,s1_reverse,,10.0,0.25,76,0.19149434061399923,0.015011244377811084,0.11148381319945455,0.279875778008103,0.0,0.003010898390922512,0.9087769252754927,39,37,0,48.68421052631579,
SEUMLD,OADNet_audio,s1_reverse,,10.0,0.5,76,0.19312357809234026,0.04891304347826085,0.11736812474101666,0.2774220706387869,0.0,0.00016045989415480695,0.028626655508737896,48,28,0,36.84210526315789,
SEUMLD,OADNet_audio,s1_reverse,,10.0,1.0,76,0.19638205304902218,0.07777777777777778,0.12472486694686735,0.27414737447867366,0.0,4.795333142279009e-06,0.00020771603022674048,52,20,4,26.31578947368421,
