dataset,unit_type,method,B,cost_ratio,C_rev,n_units,mean_delta,ci_2.5,ci_97.5,permutation_p,wilcoxon_p,cs_wins_pct,holm_p
Open-Domain,subject,s1_reverse,,1.0,0.25,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s1_reverse,,1.0,0.5,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s1_reverse,,1.0,1.0,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s1_reverse,,1.0,2.0,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s1_reverse,,2.0,0.25,511,0.027829828358204092,0.023646694303739314,0.031983023296012526,9.999000099990002e-05,1.2274170636205983e-30,28.37573385518591,
Open-Domain,subject,s1_reverse,,2.0,0.5,511,0.029046502529868477,0.025634133343282073,0.03251088259967907,9.999000099990002e-05,7.18552288026684e-45,21.135029354207436,
Open-Domain,subject,s1_reverse,,2.0,1.0,511,0.03147985087319724,0.027465923346060326,0.03546686119924867,9.999000099990002e-05,2.8424515827361174e-40,20.54794520547945,
Open-Domain,subject,s1_reverse,,2.0,2.0,511,0.0363465475598548,0.027217333492773804,0.045460829070907365,9.999000099990002e-05,3.6052011134323757e-13,35.81213307240704,
Open-Domain,subject,s1_reverse,,3.0,0.25,511,0.07663231256675485,0.06885383673458527,0.08429754231417635,9.999000099990002e-05,2.0894156824452983e-57,17.416829745596868,
Open-Domain,subject,s1_reverse,,3.0,0.5,511,0.07783363516240228,0.07136587792507557,0.08451876186978927,9.999000099990002e-05,1.6507028934173636e-69,12.524461839530332,9.999000099990002e-05
Open-Domain,subject,s1_reverse,,3.0,1.0,511,0.08023628035369716,0.07425338843587374,0.08626270386495435,9.999000099990002e-05,1.603368634164605e-69,10.371819960861057,
Open-Domain,subject,s1_reverse,,3.0,2.0,511,0.08504157073628697,0.07390775434611051,0.09596617244464604,9.999000099990002e-05,1.2523246485539335e-36,23.874755381604697,
Open-Domain,subject,s1_reverse,,5.0,0.25,511,0.1771866772062467,0.1625404734833551,0.19229867743150525,9.999000099990002e-05,1.7318099882123036e-71,12.524461839530332,
Open-Domain,subject,s1_reverse,,5.0,0.5,511,0.17749763174420705,0.1642693163272909,0.1909570840118785,9.999000099990002e-05,8.508255187855621e-78,7.436399217221135,
Open-Domain,subject,s1_reverse,,5.0,1.0,511,0.1781195408201279,0.1663377195211833,0.18955910717897018,9.999000099990002e-05,1.3936665592178986e-79,5.283757338551859,
Open-Domain,subject,s1_reverse,,5.0,2.0,511,0.17936335897196956,0.16592707824899605,0.19270070894532731,9.999000099990002e-05,3.985922942594094e-69,9.980430528375733,
Open-Domain,subject,s1_reverse,,10.0,0.25,511,0.4380638496098379,0.4038965631835006,0.47339809854474724,9.999000099990002e-05,8.885599740570417e-79,10.76320939334638,
Open-Domain,subject,s1_reverse,,10.0,0.5,511,0.4399295333933298,0.4080034162402069,0.47165995151293577,9.999000099990002e-05,9.740979020927496e-82,7.045009784735812,
Open-Domain,subject,s1_reverse,,10.0,1.0,511,0.44366090096031385,0.4150044334877994,0.47400931396283646,9.999000099990002e-05,1.3836740136555247e-83,2.5440313111545985,
Open-Domain,subject,s1_reverse,,10.0,2.0,511,0.45112363609428185,0.4249290069573826,0.4777362004705449,9.999000099990002e-05,5.6507637895588946e-83,3.131115459882583,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,1.0,0.25,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,1.0,0.5,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,1.0,1.0,511,0.0,0.0,0.0,1.0,1.0,0.0,
Open-Domain,subject,s2_oracle_scalar_alpha,0.6,1.0,2.0,511,0.0,0.0,0.0,1.0,1.0,0.0,
