dataset,fold,seed,method,cost_ratio,C_rev,B,n_test,n_truth,n_lie,n_reject,n_accept,n_singleton,n_empty,n_ambiguous,n_fp,n_fn,n_tp,n_tn,fp_rate,fn_rate,reject_rate,decision_coverage,acceptance_rate,label_coverage,label_coverage_truth,label_coverage_lie,total_cost,expected_cost
Open-Domain,0,7,cs_mondrian,1.0,0.25,,1360,663,697,1002,358,358,0,1002,68,41,145,104,0.10256410256410256,0.058823529411764705,0.736764705882353,0.26323529411764707,0.26323529411764707,0.9198529411764705,0.8974358974358975,0.9411764705882353,359.5,0.26433823529411765
Open-Domain,0,7,s1_reverse,1.0,0.25,,1360,663,697,1002,358,358,0,1002,68,41,145,104,0.10256410256410256,0.058823529411764705,0.736764705882353,0.26323529411764707,0.26323529411764707,0.9198529411764705,0.8974358974358975,0.9411764705882353,359.5,0.26433823529411765
Open-Domain,0,7,cs_budget_selected,1.0,0.25,0.6,1360,663,697,790,570,570,0,790,101,90,196,183,0.15233785822021115,0.1291248206599713,0.5808823529411765,0.41911764705882354,0.41911764705882354,0.8595588235294118,0.8476621417797888,0.8708751793400287,388.5,0.28566176470588234
Open-Domain,0,7,s2_oracle_scalar_alpha,1.0,0.25,0.6,1360,663,697,790,570,570,0,790,101,90,196,183,0.15233785822021115,0.1291248206599713,0.5808823529411765,0.41911764705882354,0.41911764705882354,0.8595588235294118,0.8476621417797888,0.8708751793400287,388.5,0.28566176470588234
Open-Domain,0,7,cs_budget_selected,1.0,0.25,0.7,1360,663,697,875,485,485,0,875,89,69,175,152,0.13423831070889894,0.09899569583931134,0.6433823529411765,0.35661764705882354,0.35661764705882354,0.8838235294117647,0.8657616892911011,0.9010043041606887,376.75,0.2770220588235294
Open-Domain,0,7,s2_oracle_scalar_alpha,1.0,0.25,0.7,1360,663,697,875,485,485,0,875,89,69,175,152,0.13423831070889894,0.09899569583931134,0.6433823529411765,0.35661764705882354,0.35661764705882354,0.8838235294117647,0.8657616892911011,0.9010043041606887,376.75,0.2770220588235294
Open-Domain,0,7,cs_budget_selected,1.0,0.25,0.8,1360,663,697,1034,326,326,0,1034,58,37,136,95,0.08748114630467571,0.05308464849354376,0.7602941176470588,0.23970588235294119,0.23970588235294119,0.9301470588235294,0.9125188536953243,0.9469153515064562,353.5,0.2599264705882353
Open-Domain,0,7,s2_oracle_scalar_alpha,1.0,0.25,0.8,1360,663,697,1034,326,326,0,1034,58,37,136,95,0.08748114630467571,0.05308464849354376,0.7602941176470588,0.23970588235294119,0.23970588235294119,0.9301470588235294,0.9125188536953243,0.9469153515064562,353.5,0.2599264705882353
Open-Domain,0,7,cs_mondrian,1.0,0.5,,1360,663,697,1002,358,358,0,1002,68,41,145,104,0.10256410256410256,0.058823529411764705,0.736764705882353,0.26323529411764707,0.26323529411764707,0.9198529411764705,0.8974358974358975,0.9411764705882353,610.0,0.4485294117647059
Open-Domain,0,7,s1_reverse,1.0,0.5,,1360,663,697,1002,358,358,0,1002,68,41,145,104,0.10256410256410256,0.058823529411764705,0.736764705882353,0.26323529411764707,0.26323529411764707,0.9198529411764705,0.8974358974358975,0.9411764705882353,610.0,0.4485294117647059
Open-Domain,0,7,cs_budget_selected,1.0,0.5,0.6,1360,663,697,372,988,988,0,372,191,186,310,301,0.28808446455505277,0.266857962697274,0.2735294117647059,0.7264705882352941,0.7264705882352941,0.7227941176470588,0.7119155354449472,0.733142037302726,563.0,0.4139705882352941
Open-Domain,0,7,s2_oracle_scalar_alpha,1.0,0.5,0.6,1360,663,697,372,988,988,0,372,191,186,310,301,0.28808446455505277,0.266857962697274,0.2735294117647059,0.7264705882352941,0.7264705882352941,0.7227941176470588,0.7119155354449472,0.733142037302726,563.0,0.4139705882352941
Open-Domain,0,7,cs_budget_selected,1.0,0.5,0.7,1360,663,697,372,988,988,0,372,191,186,310,301,0.28808446455505277,0.266857962697274,0.2735294117647059,0.7264705882352941,0.7264705882352941,0.7227941176470588,0.7119155354449472,0.733142037302726,563.0,0.4139705882352941
Open-Domain,0,7,s2_oracle_scalar_alpha,1.0,0.5,0.7,1360,663,697,372,988,988,0,372,191,186,310,301,0.28808446455505277,0.266857962697274,0.2735294117647059,0.7264705882352941,0.7264705882352941,0.7227941176470588,0.7119155354449472,0.733142037302726,563.0,0.4139705882352941
Open-Domain,0,7,cs_budget_selected,1.0,0.5,0.8,1360,663,697,372,988,988,0,372,191,186,310,301,0.28808446455505277,0.266857962697274,0.2735294117647059,0.7264705882352941,0.7264705882352941,0.7227941176470588,0.7119155354449472,0.733142037302726,563.0,0.4139705882352941
Open-Domain,0,7,s2_oracle_scalar_alpha,1.0,0.5,0.8,1360,663,697,372,988,988,0,372,191,186,310,301,0.28808446455505277,0.266857962697274,0.2735294117647059,0.7264705882352941,0.7264705882352941,0.7227941176470588,0.7119155354449472,0.733142037302726,563.0,0.4139705882352941
Open-Domain,0,7,cs_mondrian,1.0,1.0,,1360,663,697,1002,358,358,0,1002,68,41,145,104,0.10256410256410256,0.058823529411764705,0.736764705882353,0.26323529411764707,0.26323529411764707,0.9198529411764705,0.8974358974358975,0.9411764705882353,1111.0,0.8169117647058823
Open-Domain,0,7,s1_reverse,1.0,1.0,,1360,663,697,1002,358,358,0,1002,68,41,145,104,0.10256410256410256,0.058823529411764705,0.736764705882353,0.26323529411764707,0.26323529411764707,0.9198529411764705,0.8974358974358975,0.9411764705882353,1111.0,0.8169117647058823
Open-Domain,0,7,cs_budget_selected,1.0,1.0,0.6,1360,663,697,11,1349,1349,0,11,282,270,422,375,0.4253393665158371,0.38737446197991393,0.008088235294117648,0.9919117647058824,0.9919117647058824,0.5941176470588235,0.5746606334841629,0.6126255380200861,563.0,0.4139705882352941
Open-Domain,0,7,s2_oracle_scalar_alpha,1.0,1.0,0.6,1360,663,697,11,1349,1349,0,11,282,270,422,375,0.4253393665158371,0.38737446197991393,0.008088235294117648,0.9919117647058824,0.9919117647058824,0.5941176470588235,0.5746606334841629,0.6126255380200861,563.0,0.4139705882352941
Open-Domain,0,7,cs_budget_selected,1.0,1.0,0.7,1360,663,697,11,1349,1349,0,11,282,270,422,375,0.4253393665158371,0.38737446197991393,0.008088235294117648,0.9919117647058824,0.9919117647058824,0.5941176470588235,0.5746606334841629,0.6126255380200861,563.0,0.4139705882352941
Open-Domain,0,7,s2_oracle_scalar_alpha,1.0,1.0,0.7,1360,663,697,11,1349,1349,0,11,282,270,422,375,0.4253393665158371,0.38737446197991393,0.008088235294117648,0.9919117647058824,0.9919117647058824,0.5941176470588235,0.5746606334841629,0.6126255380200861,563.0,0.4139705882352941
Open-Domain,0,7,cs_budget_selected,1.0,1.0,0.8,1360,663,697,11,1349,1349,0,11,282,270,422,375,0.4253393665158371,0.38737446197991393,0.008088235294117648,0.9919117647058824,0.9919117647058824,0.5941176470588235,0.5746606334841629,0.6126255380200861,563.0,0.4139705882352941
Open-Domain,0,7,s2_oracle_scalar_alpha,1.0,1.0,0.8,1360,663,697,11,1349,1349,0,11,282,270,422,375,0.4253393665158371,0.38737446197991393,0.008088235294117648,0.9919117647058824,0.9919117647058824,0.5941176470588235,0.5746606334841629,0.6126255380200861,563.0,0.4139705882352941
Open-Domain,0,7,cs_mondrian,1.0,2.0,,1360,663,697,1002,358,358,0,1002,68,41,145,104,0.10256410256410256,0.058823529411764705,0.736764705882353,0.26323529411764707,0.26323529411764707,0.9198529411764705,0.8974358974358975,0.9411764705882353,2113.0,1.5536764705882353
Open-Domain,0,7,s1_reverse,1.0,2.0,,1360,663,697,1002,358,358,0,1002,68,41,145,104,0.10256410256410256,0.058823529411764705,0.736764705882353,0.26323529411764707,0.26323529411764707,0.9198529411764705,0.8974358974358975,0.9411764705882353,2113.0,1.5536764705882353
Open-Domain,0,7,cs_budget_selected,1.0,2.0,0.6,1360,663,697,7,1353,1353,0,7,282,273,423,375,0.4253393665158371,0.3916786226685796,0.005147058823529412,0.9948529411764706,0.9948529411764706,0.5919117647058824,0.5746606334841629,0.6083213773314203,569.0,0.4183823529411765
Open-Domain,0,7,s2_oracle_scalar_alpha,1.0,2.0,0.6,1360,663,697,7,1353,1353,0,7,282,273,423,375,0.4253393665158371,0.3916786226685796,0.005147058823529412,0.9948529411764706,0.9948529411764706,0.5919117647058824,0.5746606334841629,0.6083213773314203,569.0,0.4183823529411765
Open-Domain,0,7,cs_budget_selected,1.0,2.0,0.7,1360,663,697,7,1353,1353,0,7,282,273,423,375,0.4253393665158371,0.3916786226685796,0.005147058823529412,0.9948529411764706,0.9948529411764706,0.5919117647058824,0.5746606334841629,0.6083213773314203,569.0,0.4183823529411765
Open-Domain,0,7,s2_oracle_scalar_alpha,1.0,2.0,0.7,1360,663,697,7,1353,1353,0,7,282,273,423,375,0.4253393665158371,0.3916786226685796,0.005147058823529412,0.9948529411764706,0.9948529411764706,0.5919117647058824,0.5746606334841629,0.6083213773314203,569.0,0.4183823529411765
Open-Domain,0,7,cs_budget_selected,1.0,2.0,0.8,1360,663,697,7,1353,1353,0,7,282,273,423,375,0.4253393665158371,0.3916786226685796,0.005147058823529412,0.9948529411764706,0.9948529411764706,0.5919117647058824,0.5746606334841629,0.6083213773314203,569.0,0.4183823529411765
Open-Domain,0,7,s2_oracle_scalar_alpha,1.0,2.0,0.8,1360,663,697,7,1353,1353,0,7,282,273,423,375,0.4253393665158371,0.3916786226685796,0.005147058823529412,0.9948529411764706,0.9948529411764706,0.5919117647058824,0.5746606334841629,0.6083213773314203,569.0,0.4183823529411765
Open-Domain,0,7,cs_mondrian,2.0,0.25,,1360,663,697,1063,297,297,0,1063,68,24,145,60,0.10256410256410256,0.03443328550932568,0.7816176470588235,0.21838235294117647,0.21838235294117647,0.9323529411764706,0.8974358974358975,0.9655667144906743,381.75,0.2806985294117647
Open-Domain,0,7,s1_reverse,2.0,0.25,,1360,663,697,1112,248,248,0,1112,30,41,73,104,0.04524886877828054,0.058823529411764705,0.8176470588235294,0.18235294117647058,0.18235294117647058,0.9477941176470588,0.9547511312217195,0.9411764705882353,390.0,0.2867647058823529
Open-Domain,0,7,cs_budget_selected,2.0,0.25,0.6,1360,663,697,757,603,603,0,757,157,54,261,131,0.2368024132730015,0.07747489239598278,0.5566176470588236,0.44338235294117645,0.44338235294117645,0.8448529411764706,0.7631975867269984,0.9225251076040172,454.25,0.33400735294117645
Open-Domain,0,7,s2_oracle_scalar_alpha,2.0,0.25,0.6,1360,663,697,796,564,564,0,796,100,87,196,181,0.15082956259426847,0.12482065997130559,0.5852941176470589,0.4147058823529412,0.4147058823529412,0.8625,0.8491704374057315,0.8751793400286944,473.0,0.3477941176470588
Open-Domain,0,7,cs_budget_selected,2.0,0.25,0.7,1360,663,697,932,428,428,0,932,100,37,196,95,0.15082956259426847,0.05308464849354376,0.6852941176470588,0.31470588235294117,0.31470588235294117,0.899264705882353,0.8491704374057315,0.9469153515064562,407.0,0.29926470588235293
Open-Domain,0,7,s2_oracle_scalar_alpha,2.0,0.25,0.7,1360,663,697,875,485,485,0,875,89,69,175,152,0.13423831070889894,0.09899569583931134,0.6433823529411765,0.35661764705882354,0.35661764705882354,0.8838235294117647,0.8657616892911011,0.9010043041606887,445.75,0.32775735294117647
Open-Domain,0,7,cs_budget_selected,2.0,0.25,0.8,1360,663,697,1030,330,330,0,1030,74,30,150,76,0.11161387631975868,0.043041606886657105,0.7573529411764706,0.2426470588235294,0.2426470588235294,0.9235294117647059,0.8883861236802413,0.9569583931133429,391.5,0.2878676470588235
Open-Domain,0,7,s2_oracle_scalar_alpha,2.0,0.25,0.8,1360,663,697,1034,326,326,0,1034,58,37,136,95,0.08748114630467571,0.05308464849354376,0.7602941176470588,0.23970588235294119,0.23970588235294119,0.9301470588235294,0.9125188536953243,0.9469153515064562,390.5,0.28713235294117645
Open-Domain,0,7,cs_mondrian,2.0,0.5,,1360,663,697,1063,297,297,0,1063,68,24,145,60,0.10256410256410256,0.03443328550932568,0.7816176470588235,0.21838235294117647,0.21838235294117647,0.9323529411764706,0.8974358974358975,0.9655667144906743,647.5,0.47610294117647056
Open-Domain,0,7,s1_reverse,2.0,0.5,,1360,663,697,1112,248,248,0,1112,30,41,73,104,0.04524886877828054,0.058823529411764705,0.8176470588235294,0.18235294117647058,0.18235294117647058,0.9477941176470588,0.9547511312217195,0.9411764705882353,668.0,0.49117647058823527
Open-Domain,0,7,cs_budget_selected,2.0,0.5,0.6,1360,663,697,757,603,603,0,757,157,54,261,131,0.2368024132730015,0.07747489239598278,0.5566176470588236,0.44338235294117645,0.44338235294117645,0.8448529411764706,0.7631975867269984,0.9225251076040172,643.5,0.47316176470588234
Open-Domain,0,7,s2_oracle_scalar_alpha,2.0,0.5,0.6,1360,663,697,760,600,600,0,760,108,98,208,186,0.16289592760180996,0.1406025824964132,0.5588235294117647,0.4411764705882353,0.4411764705882353,0.8485294117647059,0.8371040723981901,0.8593974175035868,684.0,0.5029411764705882
Open-Domain,0,7,cs_budget_selected,2.0,0.5,0.7,1360,663,697,788,572,572,0,788,151,49,256,116,0.2277526395173454,0.0703012912482066,0.5794117647058824,0.42058823529411765,0.42058823529411765,0.8529411764705882,0.7722473604826546,0.9296987087517934,643.0,0.4727941176470588
Open-Domain,0,7,s2_oracle_scalar_alpha,2.0,0.5,0.7,1360,663,697,875,485,485,0,875,89,69,175,152,0.13423831070889894,0.09899569583931134,0.6433823529411765,0.35661764705882354,0.35661764705882354,0.8838235294117647,0.8657616892911011,0.9010043041606887,664.5,0.4886029411764706
Open-Domain,0,7,cs_budget_selected,2.0,0.5,0.8,1360,663,697,788,572,572,0,788,151,49,256,116,0.2277526395173454,0.0703012912482066,0.5794117647058824,0.42058823529411765,0.42058823529411765,0.8529411764705882,0.7722473604826546,0.9296987087517934,643.0,0.4727941176470588
Open-Domain,0,7,s2_oracle_scalar_alpha,2.0,0.5,0.8,1360,663,697,1034,326,326,0,1034,58,37,136,95,0.08748114630467571,0.05308464849354376,0.7602941176470588,0.23970588235294119,0.23970588235294119,0.9301470588235294,0.9125188536953243,0.9469153515064562,649.0,0.4772058823529412
Open-Domain,0,7,cs_mondrian,2.0,1.0,,1360,663,697,1063,297,297,0,1063,68,24,145,60,0.10256410256410256,0.03443328550932568,0.7816176470588235,0.21838235294117647,0.21838235294117647,0.9323529411764706,0.8974358974358975,0.9655667144906743,1179.0,0.8669117647058824
Open-Domain,0,7,s1_reverse,2.0,1.0,,1360,663,697,1112,248,248,0,1112,30,41,73,104,0.04524886877828054,0.058823529411764705,0.8176470588235294,0.18235294117647058,0.18235294117647058,0.9477941176470588,0.9547511312217195,0.9411764705882353,1224.0,0.9
Open-Domain,0,7,cs_budget_selected,2.0,1.0,0.6,1360,663,697,142,1218,1218,0,142,326,158,469,265,0.4917043740573152,0.2266857962697274,0.10441176470588236,0.8955882352941177,0.8955882352941177,0.6441176470588236,0.5082956259426847,0.7733142037302726,784.0,0.5764705882352941
Open-Domain,0,7,s2_oracle_scalar_alpha,2.0,1.0,0.6,1360,663,697,28,1332,1332,28,0,275,269,415,373,0.41478129713423834,0.38593974175035867,0.020588235294117647,0.9794117647058823,0.9794117647058823,0.5794117647058824,0.5625942684766214,0.5954088952654233,841.0,0.6183823529411765
Open-Domain,0,7,cs_budget_selected,2.0,1.0,0.7,1360,663,697,142,1218,1218,0,142,326,158,469,265,0.4917043740573152,0.2266857962697274,0.10441176470588236,0.8955882352941177,0.8955882352941177,0.6441176470588236,0.5082956259426847,0.7733142037302726,784.0,0.5764705882352941
