dataset,config,method,mean_expected_cost,mean_reject_rate,mean_fn_rate,mean_fp_rate,mean_label_coverage,mean_alpha_truth,mean_alpha_lie,mean_total_budget,n_runs
MDPE,OADNet_audio,cs_budget_selected,0.5536814285055667,0.6630141736820537,0.06834907782276203,0.2324606571700604,0.8291229976368159,0.22240000000000001,0.07413333333333334,0.1667756959314775,25
MDPE,OADNet_audio,cs_mondrian,0.5258207714305237,0.8393584151181763,0.03584045584045584,0.1053118468425659,0.9207623758505651,0.1,0.03333333333333333,0.07498929336188437,25
MDPE,OADNet_audio,s1_reverse,0.547421883624388,0.8508312936349576,0.08929974508921877,0.034375051901428776,0.9450156215019199,0.03333333333333333,0.1,0.05834403997144896,25
MDPE,OADNet_audio,s2_oracle_scalar_alpha,0.5875582556825265,0.6501732501346705,0.14010796221322536,0.16768569610637876,0.8426714930146748,0.157,0.157,0.157,25
MDPE,OADNet_audio,s3_empirical_equal_risk,0.5390660615984167,0.8358632027237711,0.06674463937621831,0.07363079543477916,0.9289582110390601,0.06884,0.08523772079772078,0.07498929336188437,25
MDPE,OADNet_audio,s4_prevalence_inverse,0.5500584315594752,0.8190517991222153,0.08929974508921877,0.06403291736562707,0.9264893263104617,0.06000686106346484,0.09994301994301993,0.07498929336188437,25
MDPE,OADNet_audio,s5_exact_budget_match,0.5380622396871675,0.8267541662733662,0.06750037486879591,0.07794578071727655,0.9259781597530943,0.07498929336188437,0.07498929336188437,0.07498929336188437,25
MDPE,OADNet_text,cs_budget_selected,0.4874742316558796,0.5984159511691364,0.06662468136152347,0.18128776341611277,0.8617374963139036,0.1784,0.059466666666666675,0.13378126338329765,25
MDPE,OADNet_text,cs_mondrian,0.4761750016257793,0.7311071602371786,0.04056680161943319,0.10395821844415608,0.9198256972840599,0.1,0.03333333333333333,0.07498929336188437,25
MDPE,OADNet_text,s1_reverse,0.5035637672392915,0.7194899959212218,0.10587194481931324,0.03942507977522629,0.9356393458012565,0.03333333333333333,0.1,0.05834403997144896,25
MDPE,OADNet_text,s2_oracle_scalar_alpha,0.5059018694152626,0.6274922972906826,0.110472334682861,0.10849969391973606,0.8907578303695902,0.1056,0.1056,0.1056,25
MDPE,OADNet_text,s3_empirical_equal_risk,0.49178030255701166,0.7052007512687986,0.08214125056230319,0.0747784715597094,0.922462271198626,0.07228,0.07950119658119657,0.07498929336188437,25
MDPE,OADNet_text,s4_prevalence_inverse,0.5022336035879558,0.6860556729305665,0.10587194481931324,0.06405306456022097,0.9202523479572645,0.06000686106346484,0.09994301994301993,0.07498929336188437,25
MDPE,OADNet_text,s5_exact_budget_match,0.4906092988843793,0.7011613765231037,0.08108262108262108,0.0780258837865992,0.920824808249796,0.07498929336188437,0.07498929336188437,0.07498929336188437,25
SEUMLD,OADNet_audio,cs_budget_selected,0.5516571664131543,0.6151464524709249,0.0755076887070999,0.2546562838593178,0.8075759188682672,0.2466,0.08220000000000001,0.19247913973829653,25
SEUMLD,OADNet_audio,cs_mondrian,0.5149263469092324,0.8331695613878044,0.036281953526738596,0.09364470192828092,0.9264517964661215,0.1,0.03333333333333333,0.07823745277877561,25
SEUMLD,OADNet_audio,s1_reverse,0.5307475988312949,0.8468289324356575,0.08195631801890003,0.035381116248234895,0.9488019861564945,0.03333333333333333,0.1,0.05509588055455773,25
SEUMLD,OADNet_audio,s2_oracle_scalar_alpha,0.5818383042767425,0.5166778474271392,0.17969431762359406,0.2141876216347655,0.7920983968598473,0.2218,0.2218,0.2218,25
SEUMLD,OADNet_audio,s3_empirical_equal_risk,0.5287878468007623,0.8113132256152399,0.07488832277393655,0.0705703411217414,0.9282417733950248,0.07332,0.08916079378332477,0.07823745277877561,25
SEUMLD,OADNet_audio,s4_prevalence_inverse,0.5342844802431014,0.8045905653494614,0.09328501799421474,0.05520825292563925,0.931963507568622,0.0581143077380552,0.12074310655079394,0.07823745277877561,25
SEUMLD,OADNet_audio,s5_exact_budget_match,0.5256539369713827,0.8132298279176716,0.06920346133808464,0.07337327570065551,0.9283794659510929,0.07823745277877561,0.07823745277877561,0.07823745277877561,25
SEUMLD,OADNet_text,cs_budget_selected,0.4822202157770025,0.6510389842805069,0.04797114920238538,0.1636682287657407,0.8762405268716823,0.16879999999999998,0.056266666666666666,0.13174280574121947,25
SEUMLD,OADNet_text,cs_mondrian,0.4733199939235431,0.757167117676918,0.02647510291860336,0.10293163919119967,0.9235199927286721,0.1,0.03333333333333333,0.07823745277877561,25
SEUMLD,OADNet_text,s1_reverse,0.4885483953506021,0.7464485026565092,0.09278474937141427,0.03003178646612278,0.9485107800621957,0.03333333333333333,0.1,0.05509588055455773,25
SEUMLD,OADNet_text,s2_oracle_scalar_alpha,0.49946564230809093,0.6039968843511458,0.12320608546702755,0.10855430635585218,0.8867419634636359,0.1302,0.1302,0.1302,25
SEUMLD,OADNet_text,s3_empirical_equal_risk,0.4726155924231588,0.7111529474159523,0.06041049875844461,0.08317211345961592,0.9247074602297742,0.079,0.07738932148224653,0.07823745277877561,25
SEUMLD,OADNet_text,s4_prevalence_inverse,0.4933431301364164,0.6691513190183909,0.11546154099795328,0.060435535921922794,0.9207310996026616,0.0581143077380552,0.12074310655079394,0.07823745277877561,25
SEUMLD,OADNet_text,s5_exact_budget_match,0.4774998719757595,0.7055329139869018,0.0692308186688074,0.08132465201422301,0.9229639159598486,0.07823745277877561,0.07823745277877561,0.07823745277877561,25
