dataset,config,fold,seed,method,cost_ratio,C_rev,B,alpha_truth,alpha_lie,total_nominal_budget,q_truth,q_lie,n_test,n_truth,n_lie,n_reject,n_accept,n_singleton,n_empty,n_ambiguous,n_fp,n_fn,n_tp,n_tn,fp_rate,fn_rate,reject_rate,decision_coverage,acceptance_rate,label_coverage,label_coverage_truth,label_coverage_lie,total_cost,expected_cost
SEUMLD,OADNet_text,0,7,cs_mondrian,1.0,0.25,,0.1,0.1,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,178.0,0.2725880551301684
SEUMLD,OADNet_text,0,7,s1_reverse,1.0,0.25,,0.1,0.1,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,178.0,0.2725880551301684
SEUMLD,OADNet_text,0,7,s3_empirical_equal_risk,1.0,0.25,,0.109,0.0817857142857143,0.1,0.5666674971580505,0.9494051225483418,653,431,222,468,185,185,0,468,43,19,45,78,0.09976798143851508,0.08558558558558559,0.7166921898928025,0.2833078101071976,0.2833078101071976,0.9050535987748851,0.9002320185614849,0.9144144144144144,179.0,0.27411944869831545
SEUMLD,OADNet_text,0,7,s4_prevalence_inverse,1.0,0.25,,0.07470588235294118,0.15119047619047618,0.1,0.6749585270881653,0.8867207989096642,653,431,222,408,245,245,0,408,26,48,32,139,0.060324825986078884,0.21621621621621623,0.6248085758039816,0.37519142419601836,0.37519142419601836,0.886676875957121,0.9396751740139211,0.7837837837837838,176.0,0.26952526799387444
SEUMLD,OADNet_text,0,7,s5_exact_budget_match,1.0,0.25,,0.1,0.1,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,178.0,0.2725880551301684
SEUMLD,OADNet_text,0,7,cs_budget_selected,1.0,0.25,0.6,0.1,0.1,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,178.0,0.2725880551301684
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,1.0,0.25,0.6,0.1,0.1,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,178.0,0.2725880551301684
SEUMLD,OADNet_text,0,7,cs_budget_selected,1.0,0.25,0.7,0.1,0.1,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,178.0,0.2725880551301684
SEUMLD,OADNet_text,0,7,s2_oracle_scalar_alpha,1.0,0.25,0.7,0.1,0.1,0.1,0.5787913203239441,0.9311169683933258,653,431,222,432,221,221,0,432,39,31,41,110,0.09048723897911833,0.13963963963963963,0.6615620214395099,0.33843797856049007,0.33843797856049007,0.892802450229709,0.9095127610208816,0.8603603603603603,178.0,0.2725880551301684
SEUMLD,OADNet_text,0,7,cs_budget_selected,1.0,0.25,0.8,0.055,0.055,0.05500000000000001,0.7920482158660889,0.9681198671460152,653,431,222,555,98,98,0,555,20,7,25,46,0.04640371229698376,0.03153153153153153,0.8499234303215927,0.15007656967840735,0.15007656967840735,0.9586523736600306,0.9535962877030162,0.9684684684684685,165.75,0.25382848392036755
