dataset,config,fold,seed,sel_calib_disjoint,sel_test_disjoint,fin_test_disjoint,n_sel_subjects,n_fin_subjects,n_test_subjects,split_hash,PASS
SEUMLD,OADNet_text,0,7,True,True,True,7,8,16,977ca675c8ffe2e4,True
SEUMLD,OADNet_text,0,42,True,True,True,7,8,16,977ca675c8ffe2e4,True
SEUMLD,OADNet_text,0,123,True,True,True,7,8,16,977ca675c8ffe2e4,True
SEUMLD,OADNet_text,0,2024,True,True,True,7,8,16,977ca675c8ffe2e4,True
SEUMLD,OADNet_text,0,2026,True,True,True,7,8,16,977ca675c8ffe2e4,True
SEUMLD,OADNet_text,1,7,True,True,True,8,8,15,4f954bed4f2db094,True
SEUMLD,OADNet_text,1,42,True,True,True,8,8,15,4f954bed4f2db094,True
SEUMLD,OADNet_text,1,123,True,True,True,8,8,15,4f954bed4f2db094,True
SEUMLD,OADNet_text,1,2024,True,True,True,8,8,15,4f954bed4f2db094,True
SEUMLD,OADNet_text,1,2026,True,True,True,8,8,15,4f954bed4f2db094,True
SEUMLD,OADNet_text,2,7,True,True,True,8,8,14,ce3edb53531d0c02,True
SEUMLD,OADNet_text,2,42,True,True,True,8,8,14,ce3edb53531d0c02,True
SEUMLD,OADNet_text,2,123,True,True,True,8,8,14,ce3edb53531d0c02,True
SEUMLD,OADNet_text,2,2024,True,True,True,8,8,14,ce3edb53531d0c02,True
SEUMLD,OADNet_text,2,2026,True,True,True,8,8,14,ce3edb53531d0c02,True
SEUMLD,OADNet_text,3,7,True,True,True,8,8,15,9c16fc0938cdbd3a,True
SEUMLD,OADNet_text,3,42,True,True,True,8,8,15,9c16fc0938cdbd3a,True
SEUMLD,OADNet_text,3,123,True,True,True,8,8,15,9c16fc0938cdbd3a,True
SEUMLD,OADNet_text,3,2024,True,True,True,8,8,15,9c16fc0938cdbd3a,True
SEUMLD,OADNet_text,3,2026,True,True,True,8,8,15,9c16fc0938cdbd3a,True
SEUMLD,OADNet_text,4,7,True,True,True,7,8,16,1f52a725471b7458,True
SEUMLD,OADNet_text,4,42,True,True,True,7,8,16,1f52a725471b7458,True
SEUMLD,OADNet_text,4,123,True,True,True,7,8,16,1f52a725471b7458,True
SEUMLD,OADNet_text,4,2024,True,True,True,7,8,16,1f52a725471b7458,True
SEUMLD,OADNet_text,4,2026,True,True,True,7,8,16,1f52a725471b7458,True
SEUMLD,OADNet_audio,0,7,True,True,True,7,8,16,977ca675c8ffe2e4,True
SEUMLD,OADNet_audio,0,42,True,True,True,7,8,16,977ca675c8ffe2e4,True
SEUMLD,OADNet_audio,0,123,True,True,True,7,8,16,977ca675c8ffe2e4,True
SEUMLD,OADNet_audio,0,2024,True,True,True,7,8,16,977ca675c8ffe2e4,True
SEUMLD,OADNet_audio,0,2026,True,True,True,7,8,16,977ca675c8ffe2e4,True
SEUMLD,OADNet_audio,1,7,True,True,True,8,8,15,4f954bed4f2db094,True
SEUMLD,OADNet_audio,1,42,True,True,True,8,8,15,4f954bed4f2db094,True
SEUMLD,OADNet_audio,1,123,True,True,True,8,8,15,4f954bed4f2db094,True
SEUMLD,OADNet_audio,1,2024,True,True,True,8,8,15,4f954bed4f2db094,True
SEUMLD,OADNet_audio,1,2026,True,True,True,8,8,15,4f954bed4f2db094,True
SEUMLD,OADNet_audio,2,7,True,True,True,8,8,14,ce3edb53531d0c02,True
SEUMLD,OADNet_audio,2,42,True,True,True,8,8,14,ce3edb53531d0c02,True
SEUMLD,OADNet_audio,2,123,True,True,True,8,8,14,ce3edb53531d0c02,True
SEUMLD,OADNet_audio,2,2024,True,True,True,8,8,14,ce3edb53531d0c02,True
SEUMLD,OADNet_audio,2,2026,True,True,True,8,8,14,ce3edb53531d0c02,True
SEUMLD,OADNet_audio,3,7,True,True,True,8,8,15,9c16fc0938cdbd3a,True
SEUMLD,OADNet_audio,3,42,True,True,True,8,8,15,9c16fc0938cdbd3a,True
SEUMLD,OADNet_audio,3,123,True,True,True,8,8,15,9c16fc0938cdbd3a,True
SEUMLD,OADNet_audio,3,2024,True,True,True,8,8,15,9c16fc0938cdbd3a,True
SEUMLD,OADNet_audio,3,2026,True,True,True,8,8,15,9c16fc0938cdbd3a,True
SEUMLD,OADNet_audio,4,7,True,True,True,7,8,16,1f52a725471b7458,True
SEUMLD,OADNet_audio,4,42,True,True,True,7,8,16,1f52a725471b7458,True
SEUMLD,OADNet_audio,4,123,True,True,True,7,8,16,1f52a725471b7458,True
SEUMLD,OADNet_audio,4,2024,True,True,True,7,8,16,1f52a725471b7458,True
SEUMLD,OADNet_audio,4,2026,True,True,True,7,8,16,1f52a725471b7458,True
MDPE,OADNet_text,0,7,True,True,True,19,20,38,8923e41006eedbc0,True
MDPE,OADNet_text,0,42,True,True,True,19,20,38,8923e41006eedbc0,True
MDPE,OADNet_text,0,123,True,True,True,19,20,38,8923e41006eedbc0,True
MDPE,OADNet_text,0,2024,True,True,True,19,20,38,8923e41006eedbc0,True
MDPE,OADNet_text,0,2026,True,True,True,19,20,38,8923e41006eedbc0,True
MDPE,OADNet_text,1,7,True,True,True,19,20,38,99aa8ba4bf460d56,True
MDPE,OADNet_text,1,42,True,True,True,19,20,38,99aa8ba4bf460d56,True
MDPE,OADNet_text,1,123,True,True,True,19,20,38,99aa8ba4bf460d56,True
MDPE,OADNet_text,1,2024,True,True,True,19,20,38,99aa8ba4bf460d56,True
MDPE,OADNet_text,1,2026,True,True,True,19,20,38,99aa8ba4bf460d56,True
MDPE,OADNet_text,2,7,True,True,True,19,19,39,5fc53cd3860bfb83,True
MDPE,OADNet_text,2,42,True,True,True,19,19,39,5fc53cd3860bfb83,True
MDPE,OADNet_text,2,123,True,True,True,19,19,39,5fc53cd3860bfb83,True
MDPE,OADNet_text,2,2024,True,True,True,19,19,39,5fc53cd3860bfb83,True
MDPE,OADNet_text,2,2026,True,True,True,19,19,39,5fc53cd3860bfb83,True
MDPE,OADNet_text,3,7,True,True,True,19,20,38,168ad569412f22aa,True
MDPE,OADNet_text,3,42,True,True,True,19,20,38,168ad569412f22aa,True
MDPE,OADNet_text,3,123,True,True,True,19,20,38,168ad569412f22aa,True
MDPE,OADNet_text,3,2024,True,True,True,19,20,38,168ad569412f22aa,True
MDPE,OADNet_text,3,2026,True,True,True,19,20,38,168ad569412f22aa,True
MDPE,OADNet_text,4,7,True,True,True,19,20,38,e89b5c10dac77578,True
MDPE,OADNet_text,4,42,True,True,True,19,20,38,e89b5c10dac77578,True
MDPE,OADNet_text,4,123,True,True,True,19,20,38,e89b5c10dac77578,True
MDPE,OADNet_text,4,2024,True,True,True,19,20,38,e89b5c10dac77578,True
MDPE,OADNet_text,4,2026,True,True,True,19,20,38,e89b5c10dac77578,True
MDPE,OADNet_audio,0,7,True,True,True,19,20,38,8923e41006eedbc0,True
MDPE,OADNet_audio,0,42,True,True,True,19,20,38,8923e41006eedbc0,True
MDPE,OADNet_audio,0,123,True,True,True,19,20,38,8923e41006eedbc0,True
MDPE,OADNet_audio,0,2024,True,True,True,19,20,38,8923e41006eedbc0,True
MDPE,OADNet_audio,0,2026,True,True,True,19,20,38,8923e41006eedbc0,True
MDPE,OADNet_audio,1,7,True,True,True,19,20,38,99aa8ba4bf460d56,True
MDPE,OADNet_audio,1,42,True,True,True,19,20,38,99aa8ba4bf460d56,True
MDPE,OADNet_audio,1,123,True,True,True,19,20,38,99aa8ba4bf460d56,True
MDPE,OADNet_audio,1,2024,True,True,True,19,20,38,99aa8ba4bf460d56,True
MDPE,OADNet_audio,1,2026,True,True,True,19,20,38,99aa8ba4bf460d56,True
MDPE,OADNet_audio,2,7,True,True,True,19,19,39,5fc53cd3860bfb83,True
MDPE,OADNet_audio,2,42,True,True,True,19,19,39,5fc53cd3860bfb83,True
MDPE,OADNet_audio,2,123,True,True,True,19,19,39,5fc53cd3860bfb83,True
MDPE,OADNet_audio,2,2024,True,True,True,19,19,39,5fc53cd3860bfb83,True
MDPE,OADNet_audio,2,2026,True,True,True,19,19,39,5fc53cd3860bfb83,True
MDPE,OADNet_audio,3,7,True,True,True,19,20,38,168ad569412f22aa,True
MDPE,OADNet_audio,3,42,True,True,True,19,20,38,168ad569412f22aa,True
