dataset,config,fold,run_seed,n_sel_subjects,n_fin_subjects,n_sel_segments,n_fin_segments,lie_sel,lie_fin,split_hash,split_seed
SEUMLD,OADNet_text,0,7,7,8,280,355,104,106,977ca675c8ffe2e4,20260904
SEUMLD,OADNet_text,0,42,7,8,280,355,104,106,977ca675c8ffe2e4,20260904
SEUMLD,OADNet_text,0,123,7,8,280,355,104,106,977ca675c8ffe2e4,20260904
SEUMLD,OADNet_text,0,2024,7,8,280,355,104,106,977ca675c8ffe2e4,20260904
SEUMLD,OADNet_text,0,2026,7,8,280,355,104,106,977ca675c8ffe2e4,20260904
SEUMLD,OADNet_text,1,7,8,8,343,319,122,124,4f954bed4f2db094,20260904
SEUMLD,OADNet_text,1,42,8,8,343,319,122,124,4f954bed4f2db094,20260904
SEUMLD,OADNet_text,1,123,8,8,343,319,122,124,4f954bed4f2db094,20260904
SEUMLD,OADNet_text,1,2024,8,8,343,319,122,124,4f954bed4f2db094,20260904
SEUMLD,OADNet_text,1,2026,8,8,343,319,122,124,4f954bed4f2db094,20260904
SEUMLD,OADNet_text,2,7,8,8,327,322,96,95,ce3edb53531d0c02,20260904
SEUMLD,OADNet_text,2,42,8,8,327,322,96,95,ce3edb53531d0c02,20260904
SEUMLD,OADNet_text,2,123,8,8,327,322,96,95,ce3edb53531d0c02,20260904
SEUMLD,OADNet_text,2,2024,8,8,327,322,96,95,ce3edb53531d0c02,20260904
SEUMLD,OADNet_text,2,2026,8,8,327,322,96,95,ce3edb53531d0c02,20260904
SEUMLD,OADNet_text,3,7,8,8,333,287,99,101,9c16fc0938cdbd3a,20260904
SEUMLD,OADNet_text,3,42,8,8,333,287,99,101,9c16fc0938cdbd3a,20260904
SEUMLD,OADNet_text,3,123,8,8,333,287,99,101,9c16fc0938cdbd3a,20260904
SEUMLD,OADNet_text,3,2024,8,8,333,287,99,101,9c16fc0938cdbd3a,20260904
SEUMLD,OADNet_text,3,2026,8,8,333,287,99,101,9c16fc0938cdbd3a,20260904
SEUMLD,OADNet_text,4,7,7,8,288,335,98,97,1f52a725471b7458,20260904
SEUMLD,OADNet_text,4,42,7,8,288,335,98,97,1f52a725471b7458,20260904
SEUMLD,OADNet_text,4,123,7,8,288,335,98,97,1f52a725471b7458,20260904
SEUMLD,OADNet_text,4,2024,7,8,288,335,98,97,1f52a725471b7458,20260904
SEUMLD,OADNet_text,4,2026,7,8,288,335,98,97,1f52a725471b7458,20260904
SEUMLD,OADNet_audio,0,7,7,8,280,355,104,106,977ca675c8ffe2e4,20260904
SEUMLD,OADNet_audio,0,42,7,8,280,355,104,106,977ca675c8ffe2e4,20260904
SEUMLD,OADNet_audio,0,123,7,8,280,355,104,106,977ca675c8ffe2e4,20260904
SEUMLD,OADNet_audio,0,2024,7,8,280,355,104,106,977ca675c8ffe2e4,20260904
SEUMLD,OADNet_audio,0,2026,7,8,280,355,104,106,977ca675c8ffe2e4,20260904
SEUMLD,OADNet_audio,1,7,8,8,343,319,122,124,4f954bed4f2db094,20260904
SEUMLD,OADNet_audio,1,42,8,8,343,319,122,124,4f954bed4f2db094,20260904
SEUMLD,OADNet_audio,1,123,8,8,343,319,122,124,4f954bed4f2db094,20260904
SEUMLD,OADNet_audio,1,2024,8,8,343,319,122,124,4f954bed4f2db094,20260904
SEUMLD,OADNet_audio,1,2026,8,8,343,319,122,124,4f954bed4f2db094,20260904
SEUMLD,OADNet_audio,2,7,8,8,327,322,96,95,ce3edb53531d0c02,20260904
SEUMLD,OADNet_audio,2,42,8,8,327,322,96,95,ce3edb53531d0c02,20260904
SEUMLD,OADNet_audio,2,123,8,8,327,322,96,95,ce3edb53531d0c02,20260904
SEUMLD,OADNet_audio,2,2024,8,8,327,322,96,95,ce3edb53531d0c02,20260904
SEUMLD,OADNet_audio,2,2026,8,8,327,322,96,95,ce3edb53531d0c02,20260904
SEUMLD,OADNet_audio,3,7,8,8,333,287,99,101,9c16fc0938cdbd3a,20260904
SEUMLD,OADNet_audio,3,42,8,8,333,287,99,101,9c16fc0938cdbd3a,20260904
SEUMLD,OADNet_audio,3,123,8,8,333,287,99,101,9c16fc0938cdbd3a,20260904
SEUMLD,OADNet_audio,3,2024,8,8,333,287,99,101,9c16fc0938cdbd3a,20260904
SEUMLD,OADNet_audio,3,2026,8,8,333,287,99,101,9c16fc0938cdbd3a,20260904
SEUMLD,OADNet_audio,4,7,7,8,288,335,98,97,1f52a725471b7458,20260904
SEUMLD,OADNet_audio,4,42,7,8,288,335,98,97,1f52a725471b7458,20260904
SEUMLD,OADNet_audio,4,123,7,8,288,335,98,97,1f52a725471b7458,20260904
SEUMLD,OADNet_audio,4,2024,7,8,288,335,98,97,1f52a725471b7458,20260904
SEUMLD,OADNet_audio,4,2026,7,8,288,335,98,97,1f52a725471b7458,20260904
MDPE,OADNet_text,0,7,19,20,456,478,171,180,8923e41006eedbc0,20260904
MDPE,OADNet_text,0,42,19,20,456,478,171,180,8923e41006eedbc0,20260904
MDPE,OADNet_text,0,123,19,20,456,478,171,180,8923e41006eedbc0,20260904
MDPE,OADNet_text,0,2024,19,20,456,478,171,180,8923e41006eedbc0,20260904
MDPE,OADNet_text,0,2026,19,20,456,478,171,180,8923e41006eedbc0,20260904
MDPE,OADNet_text,1,7,19,20,456,480,171,180,99aa8ba4bf460d56,20260904
MDPE,OADNet_text,1,42,19,20,456,480,171,180,99aa8ba4bf460d56,20260904
MDPE,OADNet_text,1,123,19,20,456,480,171,180,99aa8ba4bf460d56,20260904
MDPE,OADNet_text,1,2024,19,20,456,480,171,180,99aa8ba4bf460d56,20260904
