dataset,modality,r,B,feasible,feasible_frac,selected_alpha_total,selected_alpha_lie,test_reject,test_decision_coverage,test_expected_cost,test_lie_FN,test_label_coverage_lie,ref_test_reject,mo_test_reject,delta_cost_vs_cs,delta_cost_vs_mo
MDPE,audio,3.0,0.5,False,0.08,0.3,0.1,0.5838,0.4162,0.5665,0.0786,0.9214,0.8394,0.7841,0.0397,0.0189
MDPE,audio,3.0,0.6,True,0.8,0.292,0.097,0.5971,0.4029,0.5643,0.0764,0.9236,0.8394,0.7841,0.0375,0.0167
MDPE,audio,3.0,0.7,True,1.0,0.222,0.074,0.6909,0.3091,0.5491,0.0602,0.9398,0.8394,0.7841,0.0223,0.0015
MDPE,audio,3.0,0.8,True,1.0,0.166,0.055,0.7566,0.2434,0.5398,0.0513,0.9487,0.8394,0.7841,0.013,-0.0078
MDPE,audio,3.0,ref,True,1.0,0.1,0.0333,0.8394,0.1606,0.5268,0.0356,0.9644,0.8394,0.7841,0.0,-0.0208
MDPE,text,3.0,0.5,True,1.0,0.28,0.093,0.4388,0.5612,0.5137,0.1057,0.8943,0.7293,0.6368,0.0374,0.0061
MDPE,text,3.0,0.6,True,1.0,0.218,0.073,0.5331,0.4669,0.4955,0.0809,0.9191,0.7293,0.6368,0.0192,-0.012
MDPE,text,3.0,0.7,True,1.0,0.16,0.053,0.6278,0.3722,0.485,0.0618,0.9382,0.7293,0.6368,0.0087,-0.0225
MDPE,text,3.0,0.8,True,1.0,0.097,0.032,0.7356,0.2644,0.4756,0.0399,0.9601,0.7293,0.6368,-0.0007,-0.032
MDPE,text,3.0,ref,True,1.0,0.1,0.0333,0.7293,0.2707,0.4763,0.0423,0.9577,0.7293,0.6368,0.0,-0.0312
SEUMLD,audio,3.0,0.5,False,0.48,0.292,0.097,0.6084,0.3916,0.5531,0.0708,0.9292,0.867,0.81,0.0425,0.025
SEUMLD,audio,3.0,0.6,True,1.0,0.264,0.088,0.6464,0.3536,0.5469,0.0664,0.9336,0.867,0.81,0.0363,0.0187
SEUMLD,audio,3.0,0.7,True,1.0,0.2,0.067,0.7281,0.2719,0.5334,0.0551,0.9449,0.867,0.81,0.0228,0.0053
SEUMLD,audio,3.0,0.8,True,1.0,0.138,0.046,0.8041,0.1959,0.5211,0.039,0.961,0.867,0.81,0.0105,-0.007
SEUMLD,audio,3.0,ref,True,1.0,0.1,0.0333,0.867,0.133,0.5106,0.0279,0.9721,0.867,0.81,0.0,-0.0175
SEUMLD,text,3.0,0.5,False,0.44,0.292,0.097,0.5272,0.4728,0.5061,0.0947,0.9053,0.7715,0.6641,0.0302,0.0179
SEUMLD,text,3.0,0.6,True,0.6,0.254,0.085,0.5966,0.4034,0.4981,0.0858,0.9142,0.7715,0.6641,0.0222,0.0099
SEUMLD,text,3.0,0.7,True,1.0,0.203,0.068,0.6385,0.3615,0.4951,0.0714,0.9286,0.7715,0.6641,0.0191,0.0069
SEUMLD,text,3.0,0.8,True,1.0,0.13,0.043,0.731,0.269,0.4812,0.0431,0.9569,0.7715,0.6641,0.0053,-0.007
SEUMLD,text,3.0,ref,True,1.0,0.1,0.0333,0.7715,0.2285,0.476,0.0317,0.9683,0.7715,0.6641,0.0,-0.0122
