dataset,config,r,B,feasible,selected_alpha_total,selected_alpha_lie,test_reject,test_expected_cost,test_fn,test_label_coverage_lie
SEUMLD,OADNet_text,3.0,0.5,False,0.3,0.09999999999999999,0.5099540581929556,0.5796324655436447,0.21171171171171171,0.7882882882882883
SEUMLD,OADNet_text,3.0,0.6,False,0.3,0.09999999999999999,0.5099540581929556,0.5796324655436447,0.21171171171171171,0.7882882882882883
SEUMLD,OADNet_text,3.0,0.7,True,0.3,0.09999999999999999,0.5099540581929556,0.5796324655436447,0.21171171171171171,0.7882882882882883
SEUMLD,OADNet_text,3.0,0.8,True,0.15,0.049999999999999996,0.6753445635528331,0.5168453292496171,0.1036036036036036,0.8963963963963963
SEUMLD,OADNet_text,3.0,0.5,False,0.3,0.09999999999999999,0.5880551301684533,0.5497702909647779,0.15315315315315314,0.8468468468468469
SEUMLD,OADNet_text,3.0,0.6,False,0.3,0.09999999999999999,0.5880551301684533,0.5497702909647779,0.15315315315315314,0.8468468468468469
SEUMLD,OADNet_text,3.0,0.7,True,0.3,0.09999999999999999,0.5880551301684533,0.5497702909647779,0.15315315315315314,0.8468468468468469
SEUMLD,OADNet_text,3.0,0.8,True,0.1,0.03333333333333333,0.7611026033690659,0.49540581929555894,0.07207207207207207,0.9279279279279279
SEUMLD,OADNet_text,3.0,0.5,False,0.3,0.09999999999999999,0.5022970903522205,0.5696784073506891,0.21171171171171171,0.7882882882882883
SEUMLD,OADNet_text,3.0,0.6,False,0.3,0.09999999999999999,0.5022970903522205,0.5696784073506891,0.21171171171171171,0.7882882882882883
SEUMLD,OADNet_text,3.0,0.7,True,0.3,0.09999999999999999,0.5022970903522205,0.5696784073506891,0.21171171171171171,0.7882882882882883
SEUMLD,OADNet_text,3.0,0.8,True,0.075,0.024999999999999998,0.9142419601837672,0.49234303215926495,0.0045045045045045045,0.9954954954954955
SEUMLD,OADNet_text,3.0,0.5,False,0.3,0.09999999999999999,0.444104134762634,0.5788667687595712,0.23423423423423423,0.7657657657657657
SEUMLD,OADNet_text,3.0,0.6,False,0.3,0.09999999999999999,0.444104134762634,0.5788667687595712,0.23423423423423423,0.7657657657657657
SEUMLD,OADNet_text,3.0,0.7,True,0.2,0.06666666666666667,0.557427258805513,0.5359877488514548,0.13963963963963963,0.8603603603603603
SEUMLD,OADNet_text,3.0,0.8,True,0.1,0.03333333333333333,0.8637059724349158,0.4869831546707504,0.02252252252252252,0.9774774774774775
SEUMLD,OADNet_text,3.0,0.5,False,0.3,0.09999999999999999,0.5191424196018377,0.5689127105666156,0.18018018018018017,0.8198198198198198
SEUMLD,OADNet_text,3.0,0.6,False,0.3,0.09999999999999999,0.5191424196018377,0.5689127105666156,0.18018018018018017,0.8198198198198198
SEUMLD,OADNet_text,3.0,0.7,True,0.2,0.06666666666666667,0.5712098009188361,0.5459418070444104,0.14414414414414414,0.8558558558558559
SEUMLD,OADNet_text,3.0,0.8,True,0.2,0.06666666666666667,0.5712098009188361,0.5459418070444104,0.14414414414414414,0.8558558558558559
SEUMLD,OADNet_text,3.0,0.5,True,0.3,0.09999999999999999,0.4267716535433071,0.5377952755905512,0.0995260663507109,0.9004739336492891
SEUMLD,OADNet_text,3.0,0.6,True,0.25,0.08333333333333333,0.6566929133858268,0.4874015748031496,0.09004739336492891,0.909952606635071
SEUMLD,OADNet_text,3.0,0.7,True,0.25,0.08333333333333333,0.6566929133858268,0.4874015748031496,0.09004739336492891,0.909952606635071
SEUMLD,OADNet_text,3.0,0.8,True,0.25,0.08333333333333333,0.6566929133858268,0.4874015748031496,0.09004739336492891,0.909952606635071
SEUMLD,OADNet_text,3.0,0.5,True,0.3,0.09999999999999999,0.584251968503937,0.4984251968503937,0.0947867298578199,0.9052132701421801
SEUMLD,OADNet_text,3.0,0.6,True,0.25,0.08333333333333333,0.5937007874015748,0.4984251968503937,0.09004739336492891,0.909952606635071
SEUMLD,OADNet_text,3.0,0.7,True,0.15,0.049999999999999996,0.6251968503937008,0.4858267716535433,0.061611374407582936,0.9383886255924171
SEUMLD,OADNet_text,3.0,0.8,True,0.15,0.049999999999999996,0.6251968503937008,0.4858267716535433,0.061611374407582936,0.9383886255924171
SEUMLD,OADNet_text,3.0,0.5,True,0.3,0.09999999999999999,0.4078740157480315,0.5125984251968504,0.07582938388625593,0.9241706161137441
SEUMLD,OADNet_text,3.0,0.6,True,0.25,0.08333333333333333,0.6551181102362205,0.47086614173228347,0.061611374407582936,0.9383886255924171
SEUMLD,OADNet_text,3.0,0.7,True,0.2,0.06666666666666667,0.6692913385826772,0.468503937007874,0.052132701421800945,0.9478672985781991
SEUMLD,OADNet_text,3.0,0.8,True,0.15,0.049999999999999996,0.7086614173228346,0.47401574803149604,0.037914691943127965,0.9620853080568721
SEUMLD,OADNet_text,3.0,0.5,True,0.3,0.09999999999999999,0.4110236220472441,0.5251968503937008,0.10426540284360189,0.8957345971563981
SEUMLD,OADNet_text,3.0,0.6,True,0.25,0.08333333333333333,0.6535433070866141,0.4700787401574803,0.09004739336492891,0.909952606635071
SEUMLD,OADNet_text,3.0,0.7,True,0.2,0.06666666666666667,0.6677165354330709,0.47244094488188976,0.08530805687203792,0.9146919431279621
SEUMLD,OADNet_text,3.0,0.8,True,0.1,0.03333333333333333,0.7291338582677165,0.46062992125984253,0.04265402843601896,0.957345971563981
SEUMLD,OADNet_text,3.0,0.5,True,0.3,0.09999999999999999,0.3984251968503937,0.5094488188976378,0.0947867298578199,0.9052132701421801
SEUMLD,OADNet_text,3.0,0.6,True,0.25,0.08333333333333333,0.49763779527559054,0.5023622047244094,0.07109004739336493,0.9289099526066351
SEUMLD,OADNet_text,3.0,0.7,True,0.25,0.08333333333333333,0.49763779527559054,0.5023622047244094,0.07109004739336493,0.9289099526066351
SEUMLD,OADNet_text,3.0,0.8,True,0.1,0.03333333333333333,0.7433070866141732,0.47244094488188976,0.052132701421800945,0.9478672985781991
SEUMLD,OADNet_text,3.0,0.5,True,0.3,0.09999999999999999,0.5915721231766613,0.4854132901134522,0.05188679245283019,0.9481132075471698
SEUMLD,OADNet_text,3.0,0.6,True,0.15,0.049999999999999996,0.7974068071312804,0.4862236628849271,0.02358490566037736,0.9764150943396226
SEUMLD,OADNet_text,3.0,0.7,True,0.075,0.024999999999999998,0.9141004862236629,0.49270664505672607,0.02358490566037736,0.9764150943396226
SEUMLD,OADNet_text,3.0,0.8,True,0.075,0.024999999999999998,0.9141004862236629,0.49270664505672607,0.02358490566037736,0.9764150943396226
SEUMLD,OADNet_text,3.0,0.5,True,0.25,0.08333333333333333,0.6207455429497569,0.4967585089141005,0.05660377358490566,0.9433962264150944
SEUMLD,OADNet_text,3.0,0.6,True,0.15,0.049999999999999996,0.7682333873581848,0.4829821717990275,0.02830188679245283,0.9716981132075472
SEUMLD,OADNet_text,3.0,0.7,True,0.15,0.049999999999999996,0.7682333873581848,0.4829821717990275,0.02830188679245283,0.9716981132075472
SEUMLD,OADNet_text,3.0,0.8,True,0.15,0.049999999999999996,0.7682333873581848,0.4829821717990275,0.02830188679245283,0.9716981132075472
SEUMLD,OADNet_text,3.0,0.5,True,0.25,0.08333333333333333,0.6677471636952999,0.47974068071312803,0.02358490566037736,0.9764150943396226
SEUMLD,OADNet_text,3.0,0.6,True,0.2,0.06666666666666667,0.7196110210696921,0.49756888168557534,0.02358490566037736,0.9764150943396226
SEUMLD,OADNet_text,3.0,0.7,True,0.2,0.06666666666666667,0.7196110210696921,0.49756888168557534,0.02358490566037736,0.9764150943396226
SEUMLD,OADNet_text,3.0,0.8,True,0.2,0.06666666666666667,0.7196110210696921,0.49756888168557534,0.02358490566037736,0.9764150943396226
SEUMLD,OADNet_text,3.0,0.5,False,0.3,0.09999999999999999,0.5672609400324149,0.5089141004862237,0.0660377358490566,0.9339622641509434
SEUMLD,OADNet_text,3.0,0.6,True,0.15,0.049999999999999996,0.7844408427876823,0.49108589951377635,0.02830188679245283,0.9716981132075472
SEUMLD,OADNet_text,3.0,0.7,True,0.1,0.03333333333333333,0.9027552674230146,0.49027552674230146,0.014150943396226415,0.9858490566037735
SEUMLD,OADNet_text,3.0,0.8,True,0.1,0.03333333333333333,0.9027552674230146,0.49027552674230146,0.014150943396226415,0.9858490566037735
SEUMLD,OADNet_text,3.0,0.5,True,0.2,0.06666666666666667,0.6871961102106969,0.4878444084278768,0.02830188679245283,0.9716981132075472
SEUMLD,OADNet_text,3.0,0.6,True,0.15,0.049999999999999996,0.7844408427876823,0.48946515397082657,0.018867924528301886,0.9811320754716981
SEUMLD,OADNet_text,3.0,0.7,True,0.1,0.03333333333333333,0.9027552674230146,0.4854132901134522,0.009433962264150943,0.9905660377358491
SEUMLD,OADNet_text,3.0,0.8,True,0.1,0.03333333333333333,0.9027552674230146,0.4854132901134522,0.009433962264150943,0.9905660377358491
SEUMLD,OADNet_text,3.0,0.5,False,0.3,0.09999999999999999,0.4916286149162861,0.5030441400304414,0.1148936170212766,0.8851063829787233
SEUMLD,OADNet_text,3.0,0.6,True,0.25,0.08333333333333333,0.5205479452054794,0.4809741248097412,0.08085106382978724,0.9191489361702128
SEUMLD,OADNet_text,3.0,0.7,True,0.15,0.049999999999999996,0.6164383561643836,0.4726027397260274,0.0425531914893617,0.9574468085106383
SEUMLD,OADNet_text,3.0,0.8,True,0.1,0.03333333333333333,0.6986301369863014,0.4726027397260274,0.03404255319148936,0.9659574468085106
SEUMLD,OADNet_text,3.0,0.5,False,0.3,0.09999999999999999,0.5570776255707762,0.4977168949771689,0.07659574468085106,0.9234042553191489
SEUMLD,OADNet_text,3.0,0.6,False,0.3,0.09999999999999999,0.5570776255707762,0.4977168949771689,0.07659574468085106,0.9234042553191489
SEUMLD,OADNet_text,3.0,0.7,True,0.25,0.08333333333333333,0.5722983257229832,0.5053272450532724,0.07659574468085106,0.9234042553191489
SEUMLD,OADNet_text,3.0,0.8,True,0.2,0.06666666666666667,0.6423135464231354,0.4931506849315068,0.07659574468085106,0.9234042553191489
SEUMLD,OADNet_text,3.0,0.5,False,0.3,0.09999999999999999,0.5205479452054794,0.4992389649923896,0.08936170212765958,0.9106382978723404
SEUMLD,OADNet_text,3.0,0.6,True,0.25,0.08333333333333333,0.5266362252663622,0.4977168949771689,0.0851063829787234,0.9148936170212766
SEUMLD,OADNet_text,3.0,0.7,True,0.25,0.08333333333333333,0.5266362252663622,0.4977168949771689,0.0851063829787234,0.9148936170212766
SEUMLD,OADNet_text,3.0,0.8,True,0.1,0.03333333333333333,0.7092846270928462,0.4672754946727549,0.03404255319148936,0.9659574468085106
SEUMLD,OADNet_text,3.0,0.5,False,0.3,0.09999999999999999,0.5357686453576864,0.4779299847792998,0.07234042553191489,0.9276595744680851
SEUMLD,OADNet_text,3.0,0.6,True,0.25,0.08333333333333333,0.5418569254185692,0.4809741248097412,0.07234042553191489,0.9276595744680851
SEUMLD,OADNet_text,3.0,0.7,True,0.2,0.06666666666666667,0.5646879756468798,0.4878234398782344,0.06808510638297872,0.9319148936170213
SEUMLD,OADNet_text,3.0,0.8,True,0.15,0.049999999999999996,0.6027397260273972,0.4824961948249619,0.059574468085106386,0.9404255319148936
