source,r,B,comparison,family,n_units,delta_cost,delta_cost_ci_low,delta_cost_ci_high,sign_flip_p,wilcoxon_p,delta_reject,delta_reject_ci_low,delta_reject_ci_high,delta_reject_sign_flip_p,delta_fp_per_sample,delta_fn_per_sample,excluded_degenerate_units,sign_flip_p_holm
CrossCultural,3.0,0.6,cs_vs_uni,secondary,1192,-0.03538559280484616,-0.044221525613880895,-0.027056283487439107,9.999000099990002e-05,4.89564592296952e-08,-0.022799619517320863,-0.032591653516831784,-0.013358811327561329,9.999000099990002e-05,0.034315591194785826,-0.019433791413657184,0,
CrossCultural,3.0,0.6,cs_vs_free2d,secondary,1192,-0.04381913877509515,-0.05186501013551139,-0.036007049991162825,9.999000099990002e-05,6.067580520040383e-21,-0.05397739378444077,-0.06408318337376644,-0.04376327505338621,9.999000099990002e-05,0.0401376389736289,-0.018989360285501224,0,
CrossCultural,3.0,0.6,cs_vs_match,secondary,1192,-0.04281474258403788,-0.0531285063073811,-0.033037462805185124,9.999000099990002e-05,5.243560334321456e-06,0.017202193313770497,0.007991329809964458,0.026474753603266604,9.999000099990002e-05,0.025999069675663632,-0.025804969638862252,0,
CrossCultural,3.0,0.7,cs_vs_uni,secondary,1192,-0.03022582609411469,-0.038255295154021034,-0.0226532916654561,9.999000099990002e-05,6.012065973918039e-07,-0.010303841386056152,-0.019031928525426848,-0.0016098817755697042,0.0198980101989801,0.021267777245126237,-0.015447227548737615,0,
CrossCultural,3.0,0.7,cs_vs_free2d,secondary,1192,-0.030227082062233068,-0.03729943607788092,-0.023518640080091423,9.999000099990002e-05,2.5814041885114887e-12,-0.03208181406587447,-0.040530254985739464,-0.023766284837226537,9.999000099990002e-05,0.023795708160221585,-0.01266062772983914,0,
CrossCultural,3.0,0.7,cs_vs_match,secondary,1192,-0.033369718578401465,-0.04193163659606612,-0.024833964608634282,9.999000099990002e-05,9.599221153251847e-05,0.016848570193788312,0.008330577769545893,0.025543323107029062,9.999000099990002e-05,0.01778323745605625,-0.019859080377117286,0,
CrossCultural,3.0,0.8,cs_vs_uni,secondary,1192,-0.019554614033431148,-0.027012802968261227,-0.012310485192589848,9.999000099990002e-05,0.5460303101315209,0.0381122617594933,0.03155933246353758,0.04508765863028656,9.999000099990002e-05,0.0065075037285607755,-0.015039416213912856,0,
CrossCultural,3.0,0.8,cs_vs_free2d,secondary,1192,-0.019554614033431148,-0.02703346591363055,-0.012378281178878917,9.999000099990002e-05,0.5460303101315209,0.0381122617594933,0.03117566295444861,0.04498803198572493,9.999000099990002e-05,0.0065075037285607755,-0.015039416213912856,0,
CrossCultural,3.0,0.8,cs_vs_match,secondary,1192,-0.019059997143050834,-0.02655772107913991,-0.011822982869805437,9.999000099990002e-05,0.8547491248587655,0.04139156425230251,0.034566227198882395,0.048199274247145464,9.999000099990002e-05,0.005793917119420474,-0.015183232129540852,0,
CrossCultural,2.0,0.6,cs_vs_uni,secondary,1192,-0.012260609450206765,-0.016638227500617386,-0.007998448917204158,9.999000099990002e-05,7.254789867994984e-06,-0.015854312540554152,-0.023100941401067242,-0.008803236402858891,0.00019998000199980003,0.02031599552572707,-0.01232472435282838,0,
