source,r,B,arm,n_runs,mean_cost,mean_reject_rate,mean_fp_per_sample,mean_fn_per_sample,budget_violation_rate,selection_feasible_rate,degenerate_run_rate,mode_alpha_truth,mode_alpha_lie,mean_cost_decomp_residual
CrossCultural,2.0,0.6,cs,25,0.398781512605042,0.5266386554621848,0.06907563025210084,0.03319327731092437,0.2,1.0,0.0,0.15,0.075,0.0
CrossCultural,2.0,0.6,uni,25,0.411638655462185,0.5432773109243698,0.04773109243697479,0.04613445378151261,0.2,1.0,0.0,0.1,0.1,0.0
CrossCultural,2.0,0.7,cs,25,0.4107563025210084,0.6431932773109245,0.04546218487394959,0.02184873949579832,0.12,1.0,0.0,0.1,0.05,0.0
CrossCultural,2.0,0.7,uni,25,0.4199579831932773,0.6447899159663865,0.03336134453781513,0.03210084033613445,0.2,1.0,0.0,0.075,0.075,0.0
CrossCultural,2.0,0.8,cs,25,0.42289915966386554,0.7288235294117648,0.029747899159663867,0.014369747899159664,0.04,1.0,0.0,0.05,0.025,0.0
CrossCultural,2.0,0.8,uni,25,0.4289915966386555,0.7085714285714286,0.0246218487394958,0.02504201680672269,0.04,1.0,0.0,0.05,0.05,0.0
CrossCultural,3.0,0.6,cs,25,0.42079831932773104,0.5197478991596638,0.08252100840336134,0.026134453781512607,0.04,1.0,0.0,0.15,0.049999999999999996,0.0
CrossCultural,3.0,0.6,free2d,25,0.46575630252100836,0.5733613445378151,0.04218487394957982,0.04563025210084033,0.32,1.0,0.0,0.1,0.1,0.0
CrossCultural,3.0,0.6,match,25,0.46432773109243697,0.5029411764705882,0.0565546218487395,0.052100840336134456,0.04,0.96,0.0,0.1,0.1,0.0
CrossCultural,3.0,0.6,uni,25,0.4577731092436975,0.5432773109243698,0.04773109243697479,0.04613445378151261,0.2,1.0,0.0,0.1,0.1,0.0
CrossCultural,3.0,0.7,cs,25,0.422310924369748,0.6350420168067227,0.054873949579831945,0.016638655462184876,0.28,1.0,0.0,0.1,0.03333333333333333,0.0
CrossCultural,3.0,0.7,free2d,25,0.4512605042016807,0.6663865546218487,0.030840336134453784,0.02907563025210084,0.2,1.0,0.0,0.05,0.05,0.0
CrossCultural,3.0,0.7,match,25,0.4553781512605042,0.6181512605042017,0.03714285714285714,0.03638655462184874,0.16,1.0,0.0,0.075,0.075,0.0
CrossCultural,3.0,0.7,uni,25,0.45205882352941174,0.6447899159663865,0.03336134453781513,0.03210084033613445,0.2,1.0,0.0,0.075,0.075,0.0
CrossCultural,3.0,0.8,cs,25,0.4336974789915966,0.7485714285714287,0.03092436974789916,0.009495798319327732,0.16,1.0,0.0,0.05,0.016666666666666666,0.0
CrossCultural,3.0,0.8,free2d,25,0.4540336134453781,0.7085714285714286,0.0246218487394958,0.02504201680672269,0.04,1.0,0.0,0.05,0.05,0.0
CrossCultural,3.0,0.8,match,25,0.4534453781512605,0.7050420168067226,0.025294117647058828,0.025210084033613446,0.04,1.0,0.0,0.05,0.05,0.0
CrossCultural,3.0,0.8,uni,25,0.4540336134453781,0.7085714285714286,0.0246218487394958,0.02504201680672269,0.04,1.0,0.0,0.05,0.05,0.0
CrossCultural,5.0,0.6,cs,25,0.44432773109243695,0.5340336134453783,0.09201680672268908,0.017058823529411765,0.2,1.0,0.0,0.2,0.04,0.0
CrossCultural,5.0,0.6,uni,25,0.5500420168067227,0.5432773109243698,0.04773109243697479,0.04613445378151261,0.2,1.0,0.0,0.1,0.1,0.0
CrossCultural,5.0,0.7,cs,25,0.434327731092437,0.6426050420168068,0.06050420168067227,0.01050420168067227,0.28,1.0,0.0,0.1,0.02,0.0
CrossCultural,5.0,0.7,uni,25,0.5162605042016807,0.6447899159663865,0.03336134453781513,0.03210084033613445,0.2,1.0,0.0,0.075,0.075,0.0
CrossCultural,5.0,0.8,cs,25,0.4388235294117647,0.7450420168067226,0.03899159663865546,0.00546218487394958,0.32,1.0,0.0,0.05,0.01,0.0
CrossCultural,5.0,0.8,uni,25,0.5041176470588234,0.7085714285714286,0.0246218487394958,0.02504201680672269,0.04,1.0,0.0,0.05,0.05,0.0
CrossCultural,10.0,0.6,cs,25,0.4666806722689076,0.536890756302521,0.10663865546218487,0.00915966386554622,0.12,1.0,0.0,0.2,0.02,0.0
CrossCultural,10.0,0.6,uni,25,0.7807142857142858,0.5432773109243698,0.04773109243697479,0.04613445378151261,0.2,1.0,0.0,0.1,0.1,0.0
CrossCultural,10.0,0.7,cs,25,0.4547478991596639,0.6294957983193278,0.07529411764705882,0.006470588235294118,0.24,1.0,0.0,0.15,0.015,0.0
CrossCultural,10.0,0.7,uni,25,0.676764705882353,0.6447899159663865,0.03336134453781513,0.03210084033613445,0.2,1.0,0.0,0.075,0.075,0.0
CrossCultural,10.0,0.8,cs,25,0.4442016806722689,0.7100840336134455,0.05134453781512605,0.0037815126050420172,0.0,1.0,0.0,0.1,0.01,0.0
CrossCultural,10.0,0.8,uni,25,0.629327731092437,0.7085714285714286,0.0246218487394958,0.02504201680672269,0.04,1.0,0.0,0.05,0.05,0.0
MDPE_OADNet_audio,2.0,0.6,cs,25,0.539270564324592,0.5841152858552995,0.16511181681135378,0.04105055229279417,0.4,1.0,0.0,0.25,0.125,0.0
MDPE_OADNet_audio,2.0,0.6,uni,25,0.547498317828739,0.5804273859336956,0.12439094451859592,0.06644684017164766,0.4,1.0,0.0,0.2,0.2,0.0
MDPE_OADNet_audio,2.0,0.7,cs,25,0.5280758289649665,0.6882627990480294,0.1222640802487135,0.0308401745961191,0.44,1.0,0.0,0.2,0.1,0.0
MDPE_OADNet_audio,2.0,0.7,uni,25,0.5352746410821583,0.6732550149982006,0.09811091383889316,0.050268109872082405,0.36,1.0,0.0,0.15,0.15,0.0
MDPE_OADNet_audio,2.0,0.8,cs,25,0.5203570842781308,0.7646176710395077,0.09264204022373859,0.022703104267319106,0.28,1.0,0.0,0.15,0.075,0.0
MDPE_OADNet_audio,2.0,0.8,uni,25,0.5208797660848954,0.7800391310746774,0.06749439637072452,0.031682902088416086,0.44,1.0,0.0,0.1,0.1,0.0
MDPE_OADNet_audio,3.0,0.6,cs,25,0.5643134738670565,0.5971128954545768,0.17970809942008445,0.02868297557322792,0.48,0.8,0.0,0.3,0.09999999999999999,0.0
MDPE_OADNet_audio,3.0,0.6,free2d,25,0.5946824356639854,0.6166779422759896,0.1286080830241466,0.05257846050061467,0.6,1.0,0.0,0.25,0.075,0.0
MDPE_OADNet_audio,3.0,0.6,match,25,0.6131425168440839,0.5813176738106522,0.12436305090876835,0.06604020967666313,0.4,0.92,0.0,0.2,0.2,0.0
MDPE_OADNet_audio,3.0,0.6,uni,25,0.6139451580003867,0.5804273859336956,0.12439094451859592,0.06644684017164766,0.4,1.0,0.0,0.2,0.2,0.0
MDPE_OADNet_audio,3.0,0.7,cs,25,0.5490837821803785,0.6909379663032964,0.13579343844135663,0.022607120195791253,0.4,1.0,0.0,0.2,0.06666666666666667,0.0
