fold,seed,n_fit,n_selection,n_calibration_texts,n_calibration_units,n_test,test_class_balance_truth,roc_auc,balanced_accuracy,brier,n_calib_subject_class_units
0,7,1979,675,2716,204,1360,0.4875,0.630350716602721,0.587977780230291,0.2374598723262968,408
1,7,2028,676,2691,205,1335,0.49063670411985016,0.6327144140098788,0.6000561293219577,0.23614684036320305,410
2,7,1996,679,2710,205,1345,0.4929368029739777,0.6403798604937125,0.618500727608887,0.2355404553676746,410
3,7,2000,680,2710,205,1340,0.4835820895522388,0.6237110183401127,0.5852645757510883,0.2383684991850905,410
4,7,2018,674,2688,205,1350,0.49407407407407405,0.5970835958301962,0.5637038728073738,0.24681088794813205,410
0,42,2010,676,2698,204,1346,0.487369985141159,0.6490014139271827,0.6066763874160481,0.23347981497722925,408
1,42,2016,672,2705,205,1337,0.48840688107703817,0.6193333960219589,0.5740352668296571,0.23960587843166187,410
2,42,2003,678,2692,205,1357,0.4900515843773029,0.624160111260811,0.5736092398626624,0.2387609979837383,410
3,42,2008,675,2693,205,1354,0.49039881831610044,0.61791950410337,0.5853915662650602,0.2404556069153723,410
4,42,2021,687,2686,205,1336,0.49251497005988026,0.6115272883772225,0.5781509176820794,0.2425493252097388,410
0,123,1998,670,2672,204,1390,0.49280575539568344,0.6326510327690635,0.6050059533053787,0.23764024392365993,408
1,123,2002,676,2701,205,1351,0.4929681717246484,0.610644220863199,0.5789033559106551,0.24203212666936555,410
2,123,2014,683,2709,205,1324,0.4871601208459215,0.6105627290475047,0.5755968078912217,0.2430464492726461,410
3,123,2017,670,2714,205,1329,0.48758465011286684,0.6291469516506227,0.5858113069016153,0.23785690021168338,410
4,123,2023,666,2705,205,1336,0.4880239520958084,0.629998116456786,0.594257883973738,0.23889137695640067,410
0,2024,2017,680,2691,204,1342,0.48956780923994037,0.6653912386539124,0.6188570031885701,0.22961484107858632,408
1,2024,2015,675,2698,205,1342,0.4932935916542474,0.6327305846810023,0.5942620401634975,0.2374191030572647,410
2,2024,2007,673,2709,205,1341,0.49142431021625654,0.6282535077140785,0.5959609556824301,0.2377719023639086,410
3,2024,2017,673,2688,205,1352,0.48520710059171596,0.5978851275581721,0.572373493131483,0.2458899051875369,410
4,2024,2013,662,2702,205,1353,0.4892830746489283,0.6413140900922958,0.6038459520551239,0.2348738827571774,410
0,2026,2026,661,2685,204,1358,0.49189985272459497,0.6228542914171658,0.5897661199340449,0.24060188583846315,408
1,2026,2014,671,2700,205,1345,0.49070631970260226,0.611282902012829,0.5832503870825039,0.2423368527238064,410
2,2026,2020,655,2717,205,1338,0.48355754857997013,0.6135318971899695,0.590910514296195,0.24138412255252328,410
3,2026,2024,661,2714,205,1331,0.4868519909842224,0.6238296007085661,0.5932376678777362,0.23923114351574454,410
4,2026,2012,667,2693,205,1358,0.4955817378497791,0.617740588496871,0.5772865804058525,0.23906447177142967,410
