B,cs_budget_violation_test,cs_sel_reject_rate,cs_selected_alpha,cs_test_cost,cs_test_reject_rate,delta_cost,delta_reject_test,fold,infeasible_methods,md_budget_violation_test,md_sel_reject_rate,md_selected_alpha,md_test_cost,md_test_reject_rate,note,seed
0.6,0,0.5931983049630108,0.25,0.4933823529411765,0.5661764705882353,-0.08161764705882346,0.007352941176470562,0,,0,0.5621117444646856,0.175,0.575,0.5588235294117647,ok,7
0.7,0,0.6650268032620974,0.2,0.4860294117647059,0.6558823529411765,-0.05551470588235291,0.0022058823529411686,0,,0,0.660972360972361,0.125,0.5415441176470588,0.6536764705882353,ok,7
0.8,0,0.7957953810894988,0.125,0.48419117647058824,0.7595588235294117,-0.02463235294117644,0.022794117647058743,0,,0,0.7599194922724335,0.1,0.5088235294117647,0.736764705882353,ok,7
0.6,0,0.5522621169679993,0.2,0.4888558692421991,0.5735512630014858,-0.09509658246656766,0.002971768202080227,0,,0,0.5581134551722786,0.125,0.5839524517087668,0.5705794947994056,ok,42
0.7,0,0.686208562679151,0.125,0.4862555720653789,0.687221396731055,-0.08358098068350667,0.036404160475482894,0,,0,0.6304793245969718,0.1,0.5698365527488856,0.6508172362555721,ok,42
0.8,0,0.7847146317734552,0.1,0.4851411589895988,0.7845468053491828,-0.053863298662704284,0.057206537890044595,0,,0,0.705705079234491,0.075,0.5390044576523031,0.7273402674591382,ok,42
0.6,0,0.5703370703370704,0.225,0.5161870503597122,0.5863309352517986,-0.053597122302158295,-0.016546762589928043,0,,1,0.5780771516065634,0.125,0.5697841726618705,0.6028776978417266,ok,123
0.7,0,0.681326298973358,0.175,0.4985611510791367,0.6906474820143885,-0.04928057553956833,0.028057553956834513,0,,0,0.6608266461207638,0.1,0.547841726618705,0.662589928057554,ok,123
0.8,0,0.7478507331448507,0.125,0.48633093525179855,0.7467625899280576,-0.04640287769784174,-0.010791366906474864,0,,0,0.7663333398627517,0.075,0.5327338129496403,0.7575539568345324,ok,123
0.6,0,0.5988531076766371,0.225,0.46460506706408344,0.5953800298062594,-0.08159463487332341,0.06333830104321914,0,,0,0.562725836255248,0.175,0.5461997019374069,0.5320417287630402,ok,2024
0.7,0,0.6719515778339307,0.175,0.4761549925484352,0.6736214605067065,-0.045454545454545414,-0.0029806259314455463,0,,0,0.6911105234634646,0.125,0.5216095380029806,0.676602086438152,ok,2024
0.8,0,0.7597020626432391,0.125,0.49254843517138597,0.7704918032786885,-0.003725782414307044,-0.014903129657228065,0,,0,0.7877491789256493,0.075,0.496274217585693,0.7853949329359166,ok,2024
0.6,0,0.5648387560152266,0.25,0.5257731958762887,0.5478645066273933,-0.08541973490427102,0.004418262150221008,0,,0,0.5975685534509064,0.15,0.6111929307805597,0.5434462444771723,ok,2026
0.7,0,0.6992310521722286,0.15,0.5003681885125184,0.6840942562592047,-0.09020618556701032,0.093519882179676,0,,0,0.6369833869833869,0.125,0.5905743740795287,0.5905743740795287,ok,2026
0.8,0,0.7662179868062221,0.1,0.501840942562592,0.7459499263622975,-0.03313696612665684,0.004418262150220897,0,,0,0.7842424460071518,0.075,0.5349779086892489,0.7415316642120766,ok,2026
0.6,0,0.556128512010865,0.225,0.500374531835206,0.5632958801498127,-0.10449438202247197,-0.03370786516853941,1,,0,0.5975217592864651,0.15,0.6048689138576779,0.5970037453183521,ok,7
0.7,0,0.6624731477672654,0.175,0.49288389513108616,0.6651685393258427,-0.05917602996254684,-0.04044943820224711,1,,1,0.6934797228914874,0.1,0.552059925093633,0.7056179775280899,ok,7
0.8,0,0.7876861700391111,0.1,0.4850187265917603,0.7872659176029962,-0.04119850187265911,0.0029962546816478808,1,,0,0.7689581660169893,0.075,0.5262172284644194,0.7842696629213484,ok,7
0.6,0,0.5897553426965192,0.225,0.5093492894540015,0.5415108451757666,-0.0725504861630516,0.014958863126402377,1,,0,0.5384292178409826,0.15,0.5818997756170531,0.5265519820493643,ok,42
0.7,0,0.669264395734984,0.175,0.49401645474943906,0.6245325355272999,-0.07367240089753174,-0.023186237845923663,1,,0,0.6799135505017858,0.1,0.5676888556469708,0.6477187733732236,ok,42
0.8,0,0.7771747859983155,0.125,0.4760658189977562,0.7606581899775617,-0.04487658937920719,0.02393418100224387,1,,0,0.7792863998746351,0.075,0.5209424083769634,0.7367240089753179,ok,42
0.6,0,0.5866256836845071,0.25,0.5321983715766099,0.5625462620281273,-0.07401924500370105,-0.0088823094004441,1,,0,0.5822647940294999,0.175,0.6062176165803109,0.5714285714285714,ok,123
0.7,0,0.6775808069925718,0.2,0.5114729829755736,0.6602516654330126,-0.0669874167283494,-0.01702442635085122,1,,0,0.6554171318877201,0.125,0.578460399703923,0.6772760917838638,ok,123
0.8,1,0.7898579633873751,0.125,0.5003700962250185,0.8008882309400445,-0.023316062176165775,-0.008142116950407008,1,,1,0.7933512021747315,0.075,0.5236861584011843,0.8090303478904515,ok,123
0.6,0,0.5571454689101748,0.225,0.5242175856929955,0.5566318926974665,-0.07526080476900154,-0.04023845007451565,1,,0,0.5892816333992804,0.125,0.599478390461997,0.5968703427719821,ok,2024
0.7,0,0.6703965968671852,0.175,0.5190014903129657,0.643070044709389,-0.05737704918032782,-0.019374068554396384,1,,0,0.6434643787584963,0.1,0.5763785394932935,0.6624441132637854,ok,2024
0.8,0,0.7656803980333393,0.125,0.5040983606557377,0.7593144560357675,-0.036140089418778,-0.006706408345752646,1,,0,0.7887308769661711,0.075,0.5402384500745157,0.7660208643815202,ok,2024
0.6,0,0.591661279896574,0.175,0.5223048327137546,0.5762081784386617,-0.042007434944237976,0.005204460966542701,1,,0,0.5808014425661484,0.125,0.5643122676579926,0.571003717472119,ok,2026
0.7,0,0.6536597389538567,0.15,0.5022304832713754,0.6356877323420075,-0.03754646840148701,-0.014126394052044522,1,,0,0.6585437438378615,0.1,0.5397769516728624,0.649814126394052,ok,2026
0.8,0,0.7702896232307995,0.1,0.47695167286245355,0.7605947955390334,-0.060594795539033464,0.06022304832713754,1,,0,0.7130796219031514,0.075,0.537546468401487,0.7003717472118959,ok,2026
0.6,0,0.5882141823318294,0.2,0.5111524163568774,0.5672862453531599,-0.06022304832713754,0.06245353159851297,2,,0,0.5418640183346065,0.15,0.5713754646840149,0.5048327137546469,ok,7
0.7,0,0.6980852480852481,0.125,0.49182156133828997,0.6698884758364312,-0.04200743494423792,0.09442379182156124,2,,0,0.6018905930670636,0.125,0.5338289962825279,0.5754646840148699,ok,7
0.8,0,0.6980852480852481,0.125,0.49182156133828997,0.6698884758364312,-0.03531598513011153,-0.08698884758364311,2,,0,0.7846569552451906,0.075,0.5271375464684015,0.7568773234200743,ok,7
0.6,1,0.5754845372492431,0.175,0.522476050110538,0.6131171702284451,-0.07627118644067787,0.05969049373618285,2,,0,0.5389214271567213,0.15,0.5987472365512159,0.5534266764922623,ok,42
0.7,1,0.6817620288208522,0.125,0.5106853352984525,0.7133382461311717,-0.05858511422254975,0.07590272660280029,2,,0,0.6491769668240256,0.1,0.5692704495210023,0.6374355195283714,ok,42
0.8,0,0.7483234630293454,0.1,0.4896831245394252,0.765659543109801,-0.07258658806190121,0.05969049373618274,2,,0,0.7111273258332083,0.075,0.5622697126013264,0.7059690493736183,ok,42
0.6,0,0.5966985084632143,0.2,0.4984894259818731,0.5317220543806647,-0.05135951661631416,-0.004531722054380682,2,,0,0.5529938471114941,0.15,0.5498489425981873,0.5362537764350453,ok,123
0.7,0,0.6831920802509037,0.15,0.4947129909365559,0.6389728096676737,-0.03889728096676731,-0.00981873111782483,2,,0,0.6778232660585601,0.1,0.5336102719033232,0.6487915407854985,ok,123
