C_rev_CS_vs_M_star,C_rev_all_reject_star,all_reject_cost,auto_rate,cost_per_sample,delta_fn,delta_fp,delta_reject,err_per_auto,fold,method,seed
,0.43859649122807015,0.5,0.20955882352941177,0.48713235294117646,,,,0.30526315789473685,0,cs_mondrian,7
,0.5335195530726257,0.5,0.26323529411764707,0.5088235294117647,,,,0.30446927374301674,0,mondrian,7
0.9041095890410958,,,,,-22,0,73,,0,CS_vs_Mondrian,7
,0.43103448275862066,0.5,0.21545319465081725,0.4851411589895988,,,,0.28620689655172415,0,cs_mondrian,42
,0.7,0.5,0.3491827637444279,0.5698365527488856,,,,0.32127659574468087,0,mondrian,42
1.1333333333333333,,,,,-68,0,180,,0,CS_vs_Mondrian,42
,0.4633333333333333,0.5,0.2158273381294964,0.4920863309352518,,,,0.33,0,cs_mondrian,123
,0.6417910447761194,0.5,0.33741007194244604,0.547841726618705,,,,0.326226012793177,0,mondrian,123
0.9585798816568047,,,,,-54,0,169,,0,CS_vs_Mondrian,123
,0.3775933609958506,0.5,0.1795827123695976,0.4780178837555887,,,,0.27800829875518673,0,cs_mondrian,2024
,0.5084269662921348,0.5,0.26527570789865873,0.5022354694485842,,,,0.27247191011235955,0,mondrian,2024
0.782608695652174,,,,,-30,0,115,,0,CS_vs_Mondrian,2024
,0.5072463768115942,0.5,0.2540500736377025,0.501840942562592,,,,0.30434782608695654,0,cs_mondrian,2026
,0.6271929824561403,0.5,0.33578792341678937,0.5427098674521355,,,,0.31140350877192985,0,mondrian,2026
1.0,,,,,-37,0,111,,0,CS_vs_Mondrian,2026
,0.4295774647887324,0.5,0.21273408239700375,0.4850187265917603,,,,0.2746478873239437,1,cs_mondrian,7
,0.6768447837150128,0.5,0.2943820224719101,0.552059925093633,,,,0.32061068702290074,1,mondrian,7
1.3211009174311927,,,,,-48,0,109,,1,CS_vs_Mondrian,7
,0.3793103448275862,0.5,0.2169035153328347,0.4738219895287958,,,,0.31724137931034485,1,cs_mondrian,42
,0.692144373673036,0.5,0.35228122662677636,0.5676888556469708,,,,0.3481953290870488,1,mondrian,42
1.1933701657458564,,,,,-72,0,181,,1,CS_vs_Mondrian,42
,0.463768115942029,0.5,0.153219837157661,0.4944485566247224,,,,0.3285024154589372,1,cs_mondrian,123
,0.7089337175792507,0.5,0.25684678016284235,0.5536639526276832,,,,0.3400576368876081,1,mondrian,123
1.0714285714285714,,,,,-50,0,140,,1,CS_vs_Mondrian,123
,0.5131086142322098,0.5,0.19895678092399405,0.5026080476900149,,,,0.3258426966292135,1,cs_mondrian,2024
,0.7262693156732892,0.5,0.3375558867362146,0.5763785394932935,,,,0.3333333333333333,1,mondrian,2024
1.032258064516129,,,,,-64,0,186,,1,CS_vs_Mondrian,2024
,0.40372670807453415,0.5,0.23940520446096655,0.47695167286245355,,,,0.32298136645962733,1,cs_mondrian,2026
,0.613588110403397,0.5,0.35018587360594794,0.5397769516728624,,,,0.3333333333333333,1,mondrian,2026
1.0671140939597314,,,,,-53,0,149,,1,CS_vs_Mondrian,2026
,0.4338461538461538,0.5,0.241635687732342,0.48401486988847586,,,,0.3169230769230769,2,cs_mondrian,7
,0.5972850678733032,0.5,0.3286245353159851,0.5319702602230483,,,,0.3257918552036199,2,mondrian,7
1.0512820512820513,,,,,-41,0,117,,2,CS_vs_Mondrian,7
,0.4559748427672956,0.5,0.23434045689019897,0.4896831245394252,,,,0.31761006289308175,2,cs_mondrian,42
