seed,fold,role,n_subjects
7,0,fit,153
7,0,selection,51
7,0,calibration,204
7,0,test,103
7,1,fit,153
7,1,selection,51
7,1,calibration,205
7,1,test,102
7,2,fit,153
7,2,selection,51
7,2,calibration,205
7,2,test,102
7,3,fit,153
7,3,selection,51
7,3,calibration,205
7,3,test,102
7,4,fit,153
7,4,selection,51
7,4,calibration,205
7,4,test,102
42,0,fit,153
42,0,selection,51
42,0,calibration,204
42,0,test,103
42,1,fit,153
42,1,selection,51
42,1,calibration,205
42,1,test,102
42,2,fit,153
42,2,selection,51
42,2,calibration,205
42,2,test,102
42,3,fit,153
42,3,selection,51
42,3,calibration,205
42,3,test,102
42,4,fit,153
42,4,selection,51
42,4,calibration,205
42,4,test,102
123,0,fit,153
123,0,selection,51
123,0,calibration,204
123,0,test,103
123,1,fit,153
123,1,selection,51
123,1,calibration,205
123,1,test,102
123,2,fit,153
123,2,selection,51
123,2,calibration,205
123,2,test,102
123,3,fit,153
123,3,selection,51
123,3,calibration,205
123,3,test,102
123,4,fit,153
123,4,selection,51
123,4,calibration,205
123,4,test,102
2024,0,fit,153
2024,0,selection,51
2024,0,calibration,204
2024,0,test,103
2024,1,fit,153
2024,1,selection,51
2024,1,calibration,205
2024,1,test,102
2024,2,fit,153
2024,2,selection,51
2024,2,calibration,205
2024,2,test,102
2024,3,fit,153
2024,3,selection,51
2024,3,calibration,205
2024,3,test,102
2024,4,fit,153
2024,4,selection,51
2024,4,calibration,205
2024,4,test,102
2026,0,fit,153
2026,0,selection,51
2026,0,calibration,204
2026,0,test,103
2026,1,fit,153
2026,1,selection,51
2026,1,calibration,205
2026,1,test,102
2026,2,fit,153
2026,2,selection,51
2026,2,calibration,205
2026,2,test,102
2026,3,fit,153
2026,3,selection,51
2026,3,calibration,205
2026,3,test,102
2026,4,fit,153
2026,4,selection,51
2026,4,calibration,205
2026,4,test,102
